"","IV","variable","n","mean","sd","share_above_td_threshold","share_above_rw_threshold","perc_misrep_td_threshold","perc_misrep_rw_threshold","data_type"
"1","IV: 
instrument_ladder_huidig_activering: 0
","Ja",6263,0.542,0.153,0.178987705572409,0.418489541753153,7.89877055724094,31.8489541753153,"real"
"2","IV: 
instrument_ladder_huidig_activering: 1
","Ja",5906,0.437,0.134,0.0233660684050119,0.147477141889604,-7.66339315949882,4.74771418896038,"real"
"3","IV: 
instrument_ladder_huidig_activering: 2
","Ja",439,0.429,0.137,0.0113895216400911,0.14123006833713,-8.86104783599089,4.12300683371298,"real"
"4","IV: 
instrument_ladder_huidig_activering: 3
","Ja",34,0.45,0.14,0.0294117647058824,0.264705882352941,-7.05882352941176,16.4705882352941,"real"
"5","IV: 
instrument_ladder_huidig_activering: 4
","Ja",3,0.637,0.024,0,1,-10,90,"real"
"6","IV: 
instrument_ladder_huidig_activering: 0
","Ja",12645,0.502,0.151,0.110320284697509,0.313404507710558,1.03202846975089,21.3404507710557,"real_conditional"
"7","IV: 
instrument_ladder_huidig_activering: 1
","Ja",12645,0.475,0.145,0.0688018979833926,0.241202056148675,-3.11981020166074,14.1202056148675,"real_conditional"
"8","IV: 
instrument_ladder_huidig_activering: 2
","Ja",12645,0.477,0.145,0.0700672202451562,0.243258204824041,-2.99327797548438,14.3258204824041,"real_conditional"
"9","IV: 
instrument_ladder_huidig_activering: 3
","Ja",12645,0.477,0.145,0.0700672202451562,0.243258204824041,-2.99327797548438,14.3258204824041,"real_conditional"
"10","IV: 
instrument_ladder_huidig_activering: 4
","Ja",12645,0.477,0.145,0.0700672202451562,0.243258204824041,-2.99327797548438,14.3258204824041,"real_conditional"
"11","IV: 
instrument_ladder_huidig_activering: 0
","Ja",5955,0.636,0.081,0.162888329135181,0.746263643996641,6.28883291351805,64.6263643996642,"synth"
"12","IV: 
instrument_ladder_huidig_activering: 1
","Ja",5968,0.592,0.083,0.0464142091152815,0.554624664879357,-5.35857908847185,45.4624664879357,"synth"
"13","IV: 
instrument_ladder_huidig_activering: 2
","Ja",706,0.578,0.083,0.0254957507082153,0.497167138810198,-7.45042492917847,39.7167138810198,"synth"
"14","IV: 
instrument_ladder_huidig_activering: 3
","Ja",16,0.536,0.08,0,0.25,-10,15,"synth"
"15","IV: 
instrument_ladder_huidig_activering: 0
","Ja",12508,0.621,0.083,0.121522225775504,0.681004157339303,2.15222257755037,58.1004157339303,"synth_conditional"
"16","IV: 
instrument_ladder_huidig_activering: 1
","Ja",12508,0.604,0.083,0.0681963543332267,0.607371282379277,-3.18036456667733,50.7371282379277,"synth_conditional"
"17","IV: 
instrument_ladder_huidig_activering: 2
","Ja",12508,0.605,0.083,0.0715542053086025,0.61432683082827,-2.84457946913975,51.432683082827,"synth_conditional"
"18","IV: 
instrument_ladder_huidig_activering: 3
","Ja",12508,0.605,0.083,0.0715542053086025,0.61432683082827,-2.84457946913975,51.432683082827,"synth_conditional"
"19","IV: 
instrument_ladder_huidig_activering: 4
","Ja",12508,0.605,0.083,0.0715542053086025,0.61432683082827,-2.84457946913975,51.432683082827,"synth_conditional"
