"","decile","IV","n","perc","data_type"
"1",1,"IV: 
instrument_reden_beeindiging_historie_centrale_actie_wigo4it: 0
",873,9.24102889806288,"real"
"2",1,"IV: 
instrument_reden_beeindiging_historie_centrale_actie_wigo4it: 1
",274,12.1669626998224,"real"
"3",1,"IV: 
instrument_reden_beeindiging_historie_centrale_actie_wigo4it: 2
",82,12.3123123123123,"real"
"4",1,"IV: 
instrument_reden_beeindiging_historie_centrale_actie_wigo4it: 3
",21,10.9947643979058,"real"
"5",1,"IV: 
instrument_reden_beeindiging_historie_centrale_actie_wigo4it: 4
",7,12.5,"real"
"6",1,"IV: 
instrument_reden_beeindiging_historie_centrale_actie_wigo4it: 5
",6,31.5789473684211,"real"
"7",1,"IV: 
instrument_reden_beeindiging_historie_centrale_actie_wigo4it: 6
",2,18.1818181818182,"real"
"8",2,"IV: 
instrument_reden_beeindiging_historie_centrale_actie_wigo4it: 0
",879,9.3045411241664,"real"
"9",2,"IV: 
instrument_reden_beeindiging_historie_centrale_actie_wigo4it: 1
",270,11.9893428063943,"real"
"10",2,"IV: 
instrument_reden_beeindiging_historie_centrale_actie_wigo4it: 2
",73,10.960960960961,"real"
"11",2,"IV: 
instrument_reden_beeindiging_historie_centrale_actie_wigo4it: 3
",27,14.1361256544503,"real"
"12",2,"IV: 
instrument_reden_beeindiging_historie_centrale_actie_wigo4it: 4
",10,17.8571428571429,"real"
"13",2,"IV: 
instrument_reden_beeindiging_historie_centrale_actie_wigo4it: 5
",5,26.3157894736842,"real"
"14",2,"IV: 
instrument_reden_beeindiging_historie_centrale_actie_wigo4it: 7
",1,50,"real"
"15",3,"IV: 
instrument_reden_beeindiging_historie_centrale_actie_wigo4it: 0
",901,9.53741928654599,"real"
"16",3,"IV: 
instrument_reden_beeindiging_historie_centrale_actie_wigo4it: 1
",271,12.0337477797513,"real"
"17",3,"IV: 
instrument_reden_beeindiging_historie_centrale_actie_wigo4it: 2
",70,10.5105105105105,"real"
"18",3,"IV: 
instrument_reden_beeindiging_historie_centrale_actie_wigo4it: 3
",18,9.42408376963351,"real"
"19",3,"IV: 
instrument_reden_beeindiging_historie_centrale_actie_wigo4it: 4
",5,8.92857142857143,"real"
"20",4,"IV: 
instrument_reden_beeindiging_historie_centrale_actie_wigo4it: 0
",961,10.1725415475812,"real"
"21",4,"IV: 
instrument_reden_beeindiging_historie_centrale_actie_wigo4it: 1
",202,8.96980461811723,"real"
"22",4,"IV: 
instrument_reden_beeindiging_historie_centrale_actie_wigo4it: 2
",68,10.2102102102102,"real"
"23",4,"IV: 
instrument_reden_beeindiging_historie_centrale_actie_wigo4it: 3
",25,13.0890052356021,"real"
"24",4,"IV: 
instrument_reden_beeindiging_historie_centrale_actie_wigo4it: 4
",6,10.7142857142857,"real"
"25",4,"IV: 
instrument_reden_beeindiging_historie_centrale_actie_wigo4it: 5
",2,10.5263157894737,"real"
"26",4,"IV: 
instrument_reden_beeindiging_historie_centrale_actie_wigo4it: 6
",1,9.09090909090909,"real"
"27",5,"IV: 
instrument_reden_beeindiging_historie_centrale_actie_wigo4it: 0
",973,10.2995659997883,"real"
"28",5,"IV: 
instrument_reden_beeindiging_historie_centrale_actie_wigo4it: 1
",209,9.28063943161634,"real"
"29",5,"IV: 
instrument_reden_beeindiging_historie_centrale_actie_wigo4it: 2
",61,9.15915915915916,"real"
"30",5,"IV: 
instrument_reden_beeindiging_historie_centrale_actie_wigo4it: 3
",16,8.37696335078534,"real"
"31",5,"IV: 
instrument_reden_beeindiging_historie_centrale_actie_wigo4it: 4
",3,5.35714285714286,"real"
"32",5,"IV: 
instrument_reden_beeindiging_historie_centrale_actie_wigo4it: 6
",3,27.2727272727273,"real"
"33",6,"IV: 
instrument_reden_beeindiging_historie_centrale_actie_wigo4it: 0
",931,9.85498041706362,"real"
"34",6,"IV: 
instrument_reden_beeindiging_historie_centrale_actie_wigo4it: 1
",245,10.8792184724689,"real"
"35",6,"IV: 
instrument_reden_beeindiging_historie_centrale_actie_wigo4it: 2
",63,9.45945945945946,"real"
"36",6,"IV: 
instrument_reden_beeindiging_historie_centrale_actie_wigo4it: 3
",13,6.80628272251309,"real"
"37",6,"IV: 
instrument_reden_beeindiging_historie_centrale_actie_wigo4it: 4
",6,10.7142857142857,"real"
"38",6,"IV: 
instrument_reden_beeindiging_historie_centrale_actie_wigo4it: 5
",4,21.0526315789474,"real"
"39",6,"IV: 
instrument_reden_beeindiging_historie_centrale_actie_wigo4it: 6
",2,18.1818181818182,"real"
"40",7,"IV: 
instrument_reden_beeindiging_historie_centrale_actie_wigo4it: 0
",944,9.99259024028792,"real"
"41",7,"IV: 
instrument_reden_beeindiging_historie_centrale_actie_wigo4it: 1
",220,9.76909413854352,"real"
"42",7,"IV: 
instrument_reden_beeindiging_historie_centrale_actie_wigo4it: 2
",72,10.8108108108108,"real"
"43",7,"IV: 
instrument_reden_beeindiging_historie_centrale_actie_wigo4it: 3
",20,10.4712041884817,"real"
"44",7,"IV: 
instrument_reden_beeindiging_historie_centrale_actie_wigo4it: 4
",5,8.92857142857143,"real"
"45",7,"IV: 
instrument_reden_beeindiging_historie_centrale_actie_wigo4it: 5
",2,10.5263157894737,"real"
"46",7,"IV: 
instrument_reden_beeindiging_historie_centrale_actie_wigo4it: 6
",1,9.09090909090909,"real"
"47",8,"IV: 
instrument_reden_beeindiging_historie_centrale_actie_wigo4it: 0
",948,10.0349317243569,"real"
"48",8,"IV: 
instrument_reden_beeindiging_historie_centrale_actie_wigo4it: 1
",206,9.14742451154529,"real"
"49",8,"IV: 
instrument_reden_beeindiging_historie_centrale_actie_wigo4it: 2
",78,11.7117117117117,"real"
"50",8,"IV: 
instrument_reden_beeindiging_historie_centrale_actie_wigo4it: 3
",24,12.565445026178,"real"
"51",8,"IV: 
instrument_reden_beeindiging_historie_centrale_actie_wigo4it: 4
",6,10.7142857142857,"real"
"52",8,"IV: 
instrument_reden_beeindiging_historie_centrale_actie_wigo4it: 6
",1,9.09090909090909,"real"
"53",8,"IV: 
instrument_reden_beeindiging_historie_centrale_actie_wigo4it: 8
",1,100,"real"
"54",9,"IV: 
instrument_reden_beeindiging_historie_centrale_actie_wigo4it: 0
",997,10.5536149042024,"real"
"55",9,"IV: 
instrument_reden_beeindiging_historie_centrale_actie_wigo4it: 1
",197,8.74777975133215,"real"
"56",9,"IV: 
instrument_reden_beeindiging_historie_centrale_actie_wigo4it: 2
",48,7.20720720720721,"real"
"57",9,"IV: 
instrument_reden_beeindiging_historie_centrale_actie_wigo4it: 3
",16,8.37696335078534,"real"
"58",9,"IV: 
instrument_reden_beeindiging_historie_centrale_actie_wigo4it: 4
",5,8.92857142857143,"real"
"59",9,"IV: 
instrument_reden_beeindiging_historie_centrale_actie_wigo4it: 6
",1,9.09090909090909,"real"
