"","IV","variable","n","mean","sd","share_above_td_threshold","share_above_rw_threshold","perc_misrep_td_threshold","perc_misrep_rw_threshold","data_type"
"1","IV: 
instrument_reden_beeindiging_historie_centrale_actie_wigo4it: 0
","Ja",9447,0.497,0.154,0.110193712289616,0.298295755266222,1.01937122896157,19.8295755266222,"real"
"2","IV: 
instrument_reden_beeindiging_historie_centrale_actie_wigo4it: 1
","Ja",2252,0.467,0.15,0.0701598579040853,0.231793960923623,-2.98401420959148,13.1793960923623,"real"
"3","IV: 
instrument_reden_beeindiging_historie_centrale_actie_wigo4it: 2
","Ja",666,0.472,0.15,0.0765765765765766,0.243243243243243,-2.34234234234234,14.3243243243243,"real"
"4","IV: 
instrument_reden_beeindiging_historie_centrale_actie_wigo4it: 3
","Ja",191,0.467,0.147,0.0575916230366492,0.25130890052356,-4.24083769633508,15.130890052356,"real"
"5","IV: 
instrument_reden_beeindiging_historie_centrale_actie_wigo4it: 4
","Ja",56,0.458,0.152,0.0535714285714286,0.232142857142857,-4.64285714285714,13.2142857142857,"real"
"6","IV: 
instrument_reden_beeindiging_historie_centrale_actie_wigo4it: 5
","Ja",19,0.36,0.124,0,0,-10,-10,"real"
"7","IV: 
instrument_reden_beeindiging_historie_centrale_actie_wigo4it: 6
","Ja",11,0.466,0.125,0,0.0909090909090909,-10,-0.909090909090909,"real"
"8","IV: 
instrument_reden_beeindiging_historie_centrale_actie_wigo4it: 7
","Ja",2,0.553,0.364,0.5,0.5,40,40,"real"
"9","IV: 
instrument_reden_beeindiging_historie_centrale_actie_wigo4it: 8
","Ja",1,0.63,NA,0,1,-10,90,"real"
"10","IV: 
instrument_reden_beeindiging_historie_centrale_actie_wigo4it: 0
","Ja",12645,0.489,0.153,0.10011862396204,0.282325029655991,0.0118623962040335,18.2325029655991,"real_conditional"
"11","IV: 
instrument_reden_beeindiging_historie_centrale_actie_wigo4it: 1
","Ja",12645,0.489,0.153,0.10003954132068,0.281850533807829,0.00395413206801115,18.1850533807829,"real_conditional"
"12","IV: 
instrument_reden_beeindiging_historie_centrale_actie_wigo4it: 2
","Ja",12645,0.488,0.153,0.0979833926453143,0.278766310794781,-0.201660735468566,17.8766310794781,"real_conditional"
"13","IV: 
instrument_reden_beeindiging_historie_centrale_actie_wigo4it: 3
","Ja",12645,0.488,0.153,0.0979833926453143,0.278766310794781,-0.201660735468566,17.8766310794781,"real_conditional"
"14","IV: 
instrument_reden_beeindiging_historie_centrale_actie_wigo4it: 4
","Ja",12645,0.488,0.153,0.0979833926453143,0.278766310794781,-0.201660735468566,17.8766310794781,"real_conditional"
"15","IV: 
instrument_reden_beeindiging_historie_centrale_actie_wigo4it: 5
","Ja",12645,0.488,0.153,0.0979833926453143,0.278766310794781,-0.201660735468566,17.8766310794781,"real_conditional"
"16","IV: 
instrument_reden_beeindiging_historie_centrale_actie_wigo4it: 6
","Ja",12645,0.488,0.153,0.0979833926453143,0.278766310794781,-0.201660735468566,17.8766310794781,"real_conditional"
"17","IV: 
instrument_reden_beeindiging_historie_centrale_actie_wigo4it: 7
","Ja",12645,0.488,0.153,0.0979833926453143,0.278766310794781,-0.201660735468566,17.8766310794781,"real_conditional"
