"","decile","IV","n","perc","data_type"
"1",1,"IV: 
instrument_reden_beeindiging_historie_doelstelling_bereikt__geen_uitstroom: 0
",452,7.02081391736564,"real"
"2",1,"IV: 
instrument_reden_beeindiging_historie_doelstelling_bereikt__geen_uitstroom: 1
",319,10.4624467038373,"real"
"3",1,"IV: 
instrument_reden_beeindiging_historie_doelstelling_bereikt__geen_uitstroom: 2
",249,14.3103448275862,"real"
"4",1,"IV: 
instrument_reden_beeindiging_historie_doelstelling_bereikt__geen_uitstroom: 3
",156,17.7272727272727,"real"
"5",1,"IV: 
instrument_reden_beeindiging_historie_doelstelling_bereikt__geen_uitstroom: 4
",55,16.6163141993958,"real"
"6",1,"IV: 
instrument_reden_beeindiging_historie_doelstelling_bereikt__geen_uitstroom: 5
",21,16.40625,"real"
"7",1,"IV: 
instrument_reden_beeindiging_historie_doelstelling_bereikt__geen_uitstroom: 6
",12,20.6896551724138,"real"
"8",1,"IV: 
instrument_reden_beeindiging_historie_doelstelling_bereikt__geen_uitstroom: 7
",1,8.33333333333333,"real"
"9",2,"IV: 
instrument_reden_beeindiging_historie_doelstelling_bereikt__geen_uitstroom: 0
",510,7.92171481826654,"real"
"10",2,"IV: 
instrument_reden_beeindiging_historie_doelstelling_bereikt__geen_uitstroom: 1
",324,10.6264348966874,"real"
"11",2,"IV: 
instrument_reden_beeindiging_historie_doelstelling_bereikt__geen_uitstroom: 10
",1,50,"real"
"12",2,"IV: 
instrument_reden_beeindiging_historie_doelstelling_bereikt__geen_uitstroom: 2
",237,13.6206896551724,"real"
"13",2,"IV: 
instrument_reden_beeindiging_historie_doelstelling_bereikt__geen_uitstroom: 3
",122,13.8636363636364,"real"
"14",2,"IV: 
instrument_reden_beeindiging_historie_doelstelling_bereikt__geen_uitstroom: 4
",43,12.9909365558912,"real"
"15",2,"IV: 
instrument_reden_beeindiging_historie_doelstelling_bereikt__geen_uitstroom: 5
",20,15.625,"real"
"16",2,"IV: 
instrument_reden_beeindiging_historie_doelstelling_bereikt__geen_uitstroom: 6
",6,10.3448275862069,"real"
"17",2,"IV: 
instrument_reden_beeindiging_historie_doelstelling_bereikt__geen_uitstroom: 7
",1,8.33333333333333,"real"
"18",2,"IV: 
instrument_reden_beeindiging_historie_doelstelling_bereikt__geen_uitstroom: 8
",1,16.6666666666667,"real"
"19",3,"IV: 
instrument_reden_beeindiging_historie_doelstelling_bereikt__geen_uitstroom: 0
",565,8.77601739670705,"real"
"20",3,"IV: 
instrument_reden_beeindiging_historie_doelstelling_bereikt__geen_uitstroom: 1
",354,11.6103640537881,"real"
"21",3,"IV: 
instrument_reden_beeindiging_historie_doelstelling_bereikt__geen_uitstroom: 2
",196,11.264367816092,"real"
"22",3,"IV: 
instrument_reden_beeindiging_historie_doelstelling_bereikt__geen_uitstroom: 3
",77,8.75,"real"
"23",3,"IV: 
instrument_reden_beeindiging_historie_doelstelling_bereikt__geen_uitstroom: 4
",46,13.8972809667674,"real"
"24",3,"IV: 
instrument_reden_beeindiging_historie_doelstelling_bereikt__geen_uitstroom: 5
",18,14.0625,"real"
"25",3,"IV: 
instrument_reden_beeindiging_historie_doelstelling_bereikt__geen_uitstroom: 6
",6,10.3448275862069,"real"
"26",3,"IV: 
instrument_reden_beeindiging_historie_doelstelling_bereikt__geen_uitstroom: 7
",1,8.33333333333333,"real"
