"","IV","variable","n","mean","sd","share_above_td_threshold","share_above_rw_threshold","perc_misrep_td_threshold","perc_misrep_rw_threshold","data_type"
"1","IV: 
instrument_reden_beeindiging_historie_doelstelling_bereikt__geen_uitstroom: 0
","Ja",6438,0.514,0.151,0.1309412861137,0.330848089468779,3.09412861136999,23.0848089468779,"real"
"2","IV: 
instrument_reden_beeindiging_historie_doelstelling_bereikt__geen_uitstroom: 1
","Ja",3049,0.479,0.151,0.0829780255821581,0.258445391931781,-1.70219744178419,15.8445391931781,"real"
"3","IV: 
instrument_reden_beeindiging_historie_doelstelling_bereikt__geen_uitstroom: 10
","Ja",2,0.527,0.31,0.5,0.5,40,40,"real"
"4","IV: 
instrument_reden_beeindiging_historie_doelstelling_bereikt__geen_uitstroom: 2
","Ja",1740,0.452,0.149,0.0591954022988506,0.20632183908046,-4.08045977011494,10.632183908046,"real"
"5","IV: 
instrument_reden_beeindiging_historie_doelstelling_bereikt__geen_uitstroom: 3
","Ja",880,0.446,0.155,0.0556818181818182,0.223863636363636,-4.43181818181818,12.3863636363636,"real"
"6","IV: 
instrument_reden_beeindiging_historie_doelstelling_bereikt__geen_uitstroom: 4
","Ja",331,0.435,0.143,0.0302114803625378,0.175226586102719,-6.97885196374622,7.5226586102719,"real"
"7","IV: 
instrument_reden_beeindiging_historie_doelstelling_bereikt__geen_uitstroom: 5
","Ja",128,0.42,0.138,0.015625,0.140625,-8.4375,4.0625,"real"
"8","IV: 
instrument_reden_beeindiging_historie_doelstelling_bereikt__geen_uitstroom: 6
","Ja",58,0.44,0.151,0.0689655172413793,0.189655172413793,-3.10344827586207,8.96551724137931,"real"
"9","IV: 
instrument_reden_beeindiging_historie_doelstelling_bereikt__geen_uitstroom: 7
","Ja",12,0.492,0.124,0,0.166666666666667,-10,6.66666666666667,"real"
"10","IV: 
instrument_reden_beeindiging_historie_doelstelling_bereikt__geen_uitstroom: 8
","Ja",6,0.426,0.121,0,0.166666666666667,-10,6.66666666666667,"real"
"11","IV: 
instrument_reden_beeindiging_historie_doelstelling_bereikt__geen_uitstroom: 9
","Ja",1,0.645,NA,0,1,-10,90,"real"
