"","decile","IV","n","perc","data_type"
"1",1,"IV: 
instrument_reden_beeindiging_historie_niet_matchbaar: 0
",1209,10.3474837384457,"real"
"2",1,"IV: 
instrument_reden_beeindiging_historie_niet_matchbaar: 1
",55,6.11111111111111,"real"
"3",1,"IV: 
instrument_reden_beeindiging_historie_niet_matchbaar: 2
",1,1.85185185185185,"real"
"4",2,"IV: 
instrument_reden_beeindiging_historie_niet_matchbaar: 0
",1180,10.0992810681274,"real"
"5",2,"IV: 
instrument_reden_beeindiging_historie_niet_matchbaar: 1
",82,9.11111111111111,"real"
"6",2,"IV: 
instrument_reden_beeindiging_historie_niet_matchbaar: 2
",3,5.55555555555556,"real"
"7",3,"IV: 
instrument_reden_beeindiging_historie_niet_matchbaar: 0
",1160,9.92810681273536,"real"
"8",3,"IV: 
instrument_reden_beeindiging_historie_niet_matchbaar: 1
",97,10.7777777777778,"real"
"9",3,"IV: 
instrument_reden_beeindiging_historie_niet_matchbaar: 2
",5,9.25925925925926,"real"
"10",3,"IV: 
instrument_reden_beeindiging_historie_niet_matchbaar: 3
",3,50,"real"
"11",4,"IV: 
instrument_reden_beeindiging_historie_niet_matchbaar: 0
",1147,9.81684354673057,"real"
"12",4,"IV: 
instrument_reden_beeindiging_historie_niet_matchbaar: 1
",107,11.8888888888889,"real"
"13",4,"IV: 
instrument_reden_beeindiging_historie_niet_matchbaar: 2
",10,18.5185185185185,"real"
"14",4,"IV: 
instrument_reden_beeindiging_historie_niet_matchbaar: 4
",1,100,"real"
"15",5,"IV: 
instrument_reden_beeindiging_historie_niet_matchbaar: 0
",1147,9.81684354673057,"real"
"16",5,"IV: 
instrument_reden_beeindiging_historie_niet_matchbaar: 1
",116,12.8888888888889,"real"
"17",5,"IV: 
instrument_reden_beeindiging_historie_niet_matchbaar: 2
",1,1.85185185185185,"real"
"18",5,"IV: 
instrument_reden_beeindiging_historie_niet_matchbaar: 3
",1,16.6666666666667,"real"
"19",6,"IV: 
instrument_reden_beeindiging_historie_niet_matchbaar: 0
",1152,9.85963711057857,"real"
"20",6,"IV: 
instrument_reden_beeindiging_historie_niet_matchbaar: 1
",106,11.7777777777778,"real"
"21",6,"IV: 
instrument_reden_beeindiging_historie_niet_matchbaar: 2
",6,11.1111111111111,"real"
"22",7,"IV: 
instrument_reden_beeindiging_historie_niet_matchbaar: 0
",1165,9.97090037658336,"real"
"23",7,"IV: 
instrument_reden_beeindiging_historie_niet_matchbaar: 1
",90,10,"real"
"24",7,"IV: 
instrument_reden_beeindiging_historie_niet_matchbaar: 2
",9,16.6666666666667,"real"
"25",8,"IV: 
instrument_reden_beeindiging_historie_niet_matchbaar: 0
",1175,10.0564875042794,"real"
"26",8,"IV: 
instrument_reden_beeindiging_historie_niet_matchbaar: 1
",80,8.88888888888889,"real"
"27",8,"IV: 
instrument_reden_beeindiging_historie_niet_matchbaar: 2
",8,14.8148148148148,"real"
"28",8,"IV: 
instrument_reden_beeindiging_historie_niet_matchbaar: 3
",1,16.6666666666667,"real"
"29",9,"IV: 
instrument_reden_beeindiging_historie_niet_matchbaar: 0
",1161,9.93666552550496,"real"
"30",9,"IV: 
instrument_reden_beeindiging_historie_niet_matchbaar: 1
",96,10.6666666666667,"real"
"31",9,"IV: 
instrument_reden_beeindiging_historie_niet_matchbaar: 2
",6,11.1111111111111,"real"
"32",9,"IV: 
instrument_reden_beeindiging_historie_niet_matchbaar: 3
",1,16.6666666666667,"real"
"33",10,"IV: 
instrument_reden_beeindiging_historie_niet_matchbaar: 0
",1188,10.1677507702841,"real"
"34",10,"IV: 
instrument_reden_beeindiging_historie_niet_matchbaar: 1
",71,7.88888888888889,"real"
"35",10,"IV: 
instrument_reden_beeindiging_historie_niet_matchbaar: 2
",5,9.25925925925926,"real"
"36",1,"IV: 
instrument_reden_beeindiging_historie_niet_matchbaar: 0
",1265,10.003954132068,"real_conditional"
"37",1,"IV: 
instrument_reden_beeindiging_historie_niet_matchbaar: 1
",1265,10.003954132068,"real_conditional"
"38",1,"IV: 
instrument_reden_beeindiging_historie_niet_matchbaar: 2
",1265,10.003954132068,"real_conditional"
