"","decile","IV","n","perc","data_type"
"1",1,"IV: 
instrument_reden_beeindiging_historie_niet_succesvol: 0
",1025,11.0834775086505,"real"
"2",1,"IV: 
instrument_reden_beeindiging_historie_niet_succesvol: 1
",199,9.23005565862709,"real"
"3",1,"IV: 
instrument_reden_beeindiging_historie_niet_succesvol: 2
",34,4.38144329896907,"real"
"4",1,"IV: 
instrument_reden_beeindiging_historie_niet_succesvol: 3
",6,2.11267605633803,"real"
"5",1,"IV: 
instrument_reden_beeindiging_historie_niet_succesvol: 5
",1,2.4390243902439,"real"
"6",2,"IV: 
instrument_reden_beeindiging_historie_niet_succesvol: 0
",1018,11.007785467128,"real"
"7",2,"IV: 
instrument_reden_beeindiging_historie_niet_succesvol: 1
",183,8.48794063079777,"real"
"8",2,"IV: 
instrument_reden_beeindiging_historie_niet_succesvol: 2
",54,6.95876288659794,"real"
"9",2,"IV: 
instrument_reden_beeindiging_historie_niet_succesvol: 3
",9,3.16901408450704,"real"
"10",2,"IV: 
instrument_reden_beeindiging_historie_niet_succesvol: 4
",1,0.884955752212389,"real"
"11",3,"IV: 
instrument_reden_beeindiging_historie_niet_succesvol: 0
",959,10.3698096885813,"real"
"12",3,"IV: 
instrument_reden_beeindiging_historie_niet_succesvol: 1
",220,10.2040816326531,"real"
"13",3,"IV: 
instrument_reden_beeindiging_historie_niet_succesvol: 2
",56,7.21649484536082,"real"
"14",3,"IV: 
instrument_reden_beeindiging_historie_niet_succesvol: 3
",18,6.33802816901408,"real"
"15",3,"IV: 
instrument_reden_beeindiging_historie_niet_succesvol: 4
",5,4.42477876106195,"real"
"16",3,"IV: 
instrument_reden_beeindiging_historie_niet_succesvol: 5
",3,7.31707317073171,"real"
"17",3,"IV: 
instrument_reden_beeindiging_historie_niet_succesvol: 6
",3,16.6666666666667,"real"
"18",3,"IV: 
instrument_reden_beeindiging_historie_niet_succesvol: 7
",1,14.2857142857143,"real"
"19",4,"IV: 
instrument_reden_beeindiging_historie_niet_succesvol: 0
",890,9.62370242214533,"real"
"20",4,"IV: 
instrument_reden_beeindiging_historie_niet_succesvol: 1
",231,10.7142857142857,"real"
