"","IV","variable","n","mean","sd","share_above_td_threshold","share_above_rw_threshold","perc_misrep_td_threshold","perc_misrep_rw_threshold","data_type"
"1","IV: 
instrument_reden_beeindiging_historie_niet_succesvol: 0
","Ja",9248,0.484,0.157,0.103806228373702,0.279303633217993,0.380622837370241,17.9303633217993,"real"
"2","IV: 
instrument_reden_beeindiging_historie_niet_succesvol: 1
","Ja",2156,0.487,0.145,0.0742115027829314,0.250463821892393,-2.57884972170686,15.0463821892393,"real"
"3","IV: 
instrument_reden_beeindiging_historie_niet_succesvol: 2
","Ja",776,0.517,0.135,0.0979381443298969,0.318298969072165,-0.20618556701031,21.8298969072165,"real"
"4","IV: 
instrument_reden_beeindiging_historie_niet_succesvol: 3
","Ja",284,0.552,0.128,0.140845070422535,0.429577464788732,4.08450704225352,32.9577464788732,"real"
"5","IV: 
instrument_reden_beeindiging_historie_niet_succesvol: 4
","Ja",113,0.56,0.11,0.150442477876106,0.415929203539823,5.04424778761062,31.5929203539823,"real"
"6","IV: 
instrument_reden_beeindiging_historie_niet_succesvol: 5
","Ja",41,0.542,0.125,0.146341463414634,0.341463414634146,4.63414634146341,24.1463414634146,"real"
"7","IV: 
instrument_reden_beeindiging_historie_niet_succesvol: 6
","Ja",18,0.565,0.127,0.166666666666667,0.444444444444444,6.66666666666667,34.4444444444444,"real"
"8","IV: 
instrument_reden_beeindiging_historie_niet_succesvol: 7
","Ja",7,0.608,0.133,0.428571428571429,0.714285714285714,32.8571428571429,61.4285714285714,"real"
"9","IV: 
instrument_reden_beeindiging_historie_niet_succesvol: 8
","Ja",2,0.578,0.012,0,0,-10,-10,"real"
"10","IV: 
instrument_reden_beeindiging_historie_niet_succesvol: 0
","Ja",12645,0.489,0.153,0.0999604586793199,0.281613285883749,-0.00395413206801115,18.1613285883749,"real_conditional"
"11","IV: 
instrument_reden_beeindiging_historie_niet_succesvol: 1
","Ja",12645,0.489,0.153,0.100672202451562,0.282325029655991,0.0672202451561868,18.2325029655991,"real_conditional"
"12","IV: 
instrument_reden_beeindiging_historie_niet_succesvol: 2
","Ja",12645,0.489,0.153,0.100593119810202,0.282325029655991,0.0593119810201659,18.2325029655991,"real_conditional"
"13","IV: 
instrument_reden_beeindiging_historie_niet_succesvol: 3
","Ja",12645,0.49,0.153,0.101225780941083,0.282799525504152,0.122578094108343,18.2799525504152,"real_conditional"
"14","IV: 
instrument_reden_beeindiging_historie_niet_succesvol: 4
","Ja",12645,0.49,0.153,0.101225780941083,0.282799525504152,0.122578094108343,18.2799525504152,"real_conditional"
"15","IV: 
instrument_reden_beeindiging_historie_niet_succesvol: 5
","Ja",12645,0.49,0.153,0.101225780941083,0.282799525504152,0.122578094108343,18.2799525504152,"real_conditional"
"16","IV: 
instrument_reden_beeindiging_historie_niet_succesvol: 6
","Ja",12645,0.49,0.153,0.101225780941083,0.282799525504152,0.122578094108343,18.2799525504152,"real_conditional"
"17","IV: 
instrument_reden_beeindiging_historie_niet_succesvol: 7
","Ja",12645,0.49,0.153,0.101225780941083,0.282799525504152,0.122578094108343,18.2799525504152,"real_conditional"
"18","IV: 
instrument_reden_beeindiging_historie_niet_succesvol: 8
","Ja",12645,0.49,0.153,0.101225780941083,0.282799525504152,0.122578094108343,18.2799525504152,"real_conditional"
"19","IV: 
instrument_reden_beeindiging_historie_niet_succesvol: 0
","Ja",4205,0.608,0.09,0.10487514863258,0.617598097502973,0.487514863258026,51.7598097502973,"synth"
"20","IV: 
instrument_reden_beeindiging_historie_niet_succesvol: 1
","Ja",6453,0.613,0.084,0.0987137765380443,0.646675964667596,-0.128622346195569,54.6675964667596,"synth"
"21","IV: 
instrument_reden_beeindiging_historie_niet_succesvol: 2
","Ja",1808,0.616,0.081,0.0956858407079646,0.669800884955752,-0.431415929203541,56.9800884955752,"synth"
"22","IV: 
instrument_reden_beeindiging_historie_niet_succesvol: 3
","Ja",177,0.623,0.076,0.0790960451977401,0.72316384180791,-2.09039548022599,62.316384180791,"synth"
"23","IV: 
instrument_reden_beeindiging_historie_niet_succesvol: 4
","Ja",2,0.536,0.072,0,0,-10,-10,"synth"
"24","IV: 
instrument_reden_beeindiging_historie_niet_succesvol: 0
","Ja",12508,0.612,0.085,0.0989766549408379,0.63999040614007,-0.102334505916214,53.999040614007,"synth_conditional"
"25","IV: 
instrument_reden_beeindiging_historie_niet_succesvol: 1
","Ja",12508,0.612,0.085,0.0998560921010553,0.640789894467541,-0.0143907898944681,54.0789894467541,"synth_conditional"
"26","IV: 
instrument_reden_beeindiging_historie_niet_succesvol: 2
","Ja",12508,0.612,0.085,0.100335785097538,0.642069075791493,0.0335785097537566,54.2069075791493,"synth_conditional"
"27","IV: 
instrument_reden_beeindiging_historie_niet_succesvol: 3
","Ja",12508,0.612,0.085,0.100895426926767,0.642948512951711,0.0895426926766862,54.2948512951711,"synth_conditional"
"28","IV: 
instrument_reden_beeindiging_historie_niet_succesvol: 4
","Ja",12508,0.612,0.085,0.100895426926767,0.642948512951711,0.0895426926766862,54.2948512951711,"synth_conditional"
"29","IV: 
instrument_reden_beeindiging_historie_niet_succesvol: 5
","Ja",12508,0.612,0.085,0.100895426926767,0.642948512951711,0.0895426926766862,54.2948512951711,"synth_conditional"
"30","IV: 
instrument_reden_beeindiging_historie_niet_succesvol: 6
","Ja",12508,0.612,0.085,0.100895426926767,0.642948512951711,0.0895426926766862,54.2948512951711,"synth_conditional"
"31","IV: 
instrument_reden_beeindiging_historie_niet_succesvol: 7
","Ja",12508,0.612,0.085,0.100895426926767,0.642948512951711,0.0895426926766862,54.2948512951711,"synth_conditional"
"32","IV: 
instrument_reden_beeindiging_historie_niet_succesvol: 8
","Ja",12508,0.612,0.085,0.100895426926767,0.642948512951711,0.0895426926766862,54.2948512951711,"synth_conditional"
