"","decile","IV","n","perc","data_type"
"1",1,"IV: 
instrument_reden_beeindiging_historie_niet_succesvol__reden_bij_werkzoekende: 0
",1214,10.0123711340206,"real"
"2",1,"IV: 
instrument_reden_beeindiging_historie_niet_succesvol__reden_bij_werkzoekende: 1
",50,10.6837606837607,"real"
"3",1,"IV: 
instrument_reden_beeindiging_historie_niet_succesvol__reden_bij_werkzoekende: 2
",1,2.38095238095238,"real"
"4",2,"IV: 
instrument_reden_beeindiging_historie_niet_succesvol__reden_bij_werkzoekende: 0
",1234,10.1773195876289,"real"
"5",2,"IV: 
instrument_reden_beeindiging_historie_niet_succesvol__reden_bij_werkzoekende: 1
",29,6.1965811965812,"real"
"6",2,"IV: 
instrument_reden_beeindiging_historie_niet_succesvol__reden_bij_werkzoekende: 2
",2,4.76190476190476,"real"
"7",3,"IV: 
instrument_reden_beeindiging_historie_niet_succesvol__reden_bij_werkzoekende: 0
",1220,10.0618556701031,"real"
"8",3,"IV: 
instrument_reden_beeindiging_historie_niet_succesvol__reden_bij_werkzoekende: 1
",44,9.4017094017094,"real"
"9",3,"IV: 
instrument_reden_beeindiging_historie_niet_succesvol__reden_bij_werkzoekende: 2
",1,2.38095238095238,"real"
"10",4,"IV: 
instrument_reden_beeindiging_historie_niet_succesvol__reden_bij_werkzoekende: 0
",1203,9.92164948453608,"real"
"11",4,"IV: 
instrument_reden_beeindiging_historie_niet_succesvol__reden_bij_werkzoekende: 1
",53,11.3247863247863,"real"
"12",4,"IV: 
instrument_reden_beeindiging_historie_niet_succesvol__reden_bij_werkzoekende: 2
",6,14.2857142857143,"real"
"13",4,"IV: 
instrument_reden_beeindiging_historie_niet_succesvol__reden_bij_werkzoekende: 3
",2,28.5714285714286,"real"
"14",4,"IV: 
instrument_reden_beeindiging_historie_niet_succesvol__reden_bij_werkzoekende: 4
",1,50,"real"
"15",5,"IV: 
instrument_reden_beeindiging_historie_niet_succesvol__reden_bij_werkzoekende: 0
",1209,9.97113402061856,"real"
"16",5,"IV: 
instrument_reden_beeindiging_historie_niet_succesvol__reden_bij_werkzoekende: 1
",50,10.6837606837607,"real"
