"","decile","IV","n","perc","data_type"
"1",1,"IV: 
instrument_reden_beeindiging_historie_succesvol: 0
",575,8.63752441039507,"real"
"2",1,"IV: 
instrument_reden_beeindiging_historie_succesvol: 1
",373,13.1988676574664,"real"
"3",1,"IV: 
instrument_reden_beeindiging_historie_succesvol: 2
",195,11.9266055045872,"real"
"4",1,"IV: 
instrument_reden_beeindiging_historie_succesvol: 3
",66,7.90419161676647,"real"
"5",1,"IV: 
instrument_reden_beeindiging_historie_succesvol: 4
",31,8.13648293963255,"real"
"6",1,"IV: 
instrument_reden_beeindiging_historie_succesvol: 5
",13,6.66666666666667,"real"
"7",2,"IV: 
instrument_reden_beeindiging_historie_succesvol: 0
",651,9.77917981072555,"real"
"8",2,"IV: 
instrument_reden_beeindiging_historie_succesvol: 1
",310,10.9695682944091,"real"
"9",2,"IV: 
instrument_reden_beeindiging_historie_succesvol: 2
",177,10.8256880733945,"real"
"10",2,"IV: 
instrument_reden_beeindiging_historie_succesvol: 3
",71,8.50299401197605,"real"
"11",2,"IV: 
instrument_reden_beeindiging_historie_succesvol: 4
",28,7.3490813648294,"real"
"12",2,"IV: 
instrument_reden_beeindiging_historie_succesvol: 5
",16,8.2051282051282,"real"
"13",3,"IV: 
instrument_reden_beeindiging_historie_succesvol: 0
",659,9.89935406339192,"real"
"14",3,"IV: 
instrument_reden_beeindiging_historie_succesvol: 1
",272,9.62491153573956,"real"
"15",3,"IV: 
instrument_reden_beeindiging_historie_succesvol: 2
",163,9.96941896024465,"real"
"16",3,"IV: 
instrument_reden_beeindiging_historie_succesvol: 3
",100,11.9760479041916,"real"
"17",3,"IV: 
instrument_reden_beeindiging_historie_succesvol: 4
",40,10.498687664042,"real"
"18",3,"IV: 
instrument_reden_beeindiging_historie_succesvol: 5
",19,9.74358974358974,"real"
"19",4,"IV: 
instrument_reden_beeindiging_historie_succesvol: 0
",589,8.84782935256121,"real"
"20",4,"IV: 
instrument_reden_beeindiging_historie_succesvol: 1
",293,10.3680113234253,"real"
"21",4,"IV: 
instrument_reden_beeindiging_historie_succesvol: 2
",197,12.0489296636086,"real"
"22",4,"IV: 
instrument_reden_beeindiging_historie_succesvol: 3
",101,12.0958083832335,"real"
"23",4,"IV: 
instrument_reden_beeindiging_historie_succesvol: 4
",48,12.5984251968504,"real"
"24",4,"IV: 
instrument_reden_beeindiging_historie_succesvol: 5
",25,12.8205128205128,"real"
"25",5,"IV: 
instrument_reden_beeindiging_historie_succesvol: 0
",606,9.10319963947724,"real"
"26",5,"IV: 
instrument_reden_beeindiging_historie_succesvol: 1
",273,9.66029723991507,"real"
"27",5,"IV: 
instrument_reden_beeindiging_historie_succesvol: 2
",200,12.2324159021407,"real"
"28",5,"IV: 
instrument_reden_beeindiging_historie_succesvol: 3
",113,13.5329341317365,"real"
"29",5,"IV: 
instrument_reden_beeindiging_historie_succesvol: 4
",38,9.9737532808399,"real"
"30",5,"IV: 
instrument_reden_beeindiging_historie_succesvol: 5
",23,11.7948717948718,"real"
"31",6,"IV: 
instrument_reden_beeindiging_historie_succesvol: 0
",617,9.2684392368935,"real"
"32",6,"IV: 
instrument_reden_beeindiging_historie_succesvol: 1
",290,10.2618542108988,"real"
"33",6,"IV: 
instrument_reden_beeindiging_historie_succesvol: 2
",172,10.519877675841,"real"
"34",6,"IV: 
instrument_reden_beeindiging_historie_succesvol: 3
",91,10.8982035928144,"real"
"35",6,"IV: 
instrument_reden_beeindiging_historie_succesvol: 4
",58,15.2230971128609,"real"
