"","decile","IV","n","perc","data_type"
"1",1,"IV: 
instrument_reden_beeindiging_historie_uitval__aanbod_niet_langer_zinvol_volgens_gemeente: 0
",1050,10.6426109872289,"real"
"2",1,"IV: 
instrument_reden_beeindiging_historie_uitval__aanbod_niet_langer_zinvol_volgens_gemeente: 1
",176,8.3929422985217,"real"
"3",1,"IV: 
instrument_reden_beeindiging_historie_uitval__aanbod_niet_langer_zinvol_volgens_gemeente: 2
",33,6.13382899628253,"real"
"4",1,"IV: 
instrument_reden_beeindiging_historie_uitval__aanbod_niet_langer_zinvol_volgens_gemeente: 3
",5,4.0650406504065,"real"
"5",1,"IV: 
instrument_reden_beeindiging_historie_uitval__aanbod_niet_langer_zinvol_volgens_gemeente: 4
",1,6.25,"real"
"6",2,"IV: 
instrument_reden_beeindiging_historie_uitval__aanbod_niet_langer_zinvol_volgens_gemeente: 0
",994,10.07500506791,"real"
"7",2,"IV: 
instrument_reden_beeindiging_historie_uitval__aanbod_niet_langer_zinvol_volgens_gemeente: 1
",211,10.0619933237959,"real"
"8",2,"IV: 
instrument_reden_beeindiging_historie_uitval__aanbod_niet_langer_zinvol_volgens_gemeente: 2
",42,7.80669144981413,"real"
"9",2,"IV: 
instrument_reden_beeindiging_historie_uitval__aanbod_niet_langer_zinvol_volgens_gemeente: 3
",16,13.0081300813008,"real"
"10",2,"IV: 
instrument_reden_beeindiging_historie_uitval__aanbod_niet_langer_zinvol_volgens_gemeente: 4
",2,12.5,"real"
"11",3,"IV: 
instrument_reden_beeindiging_historie_uitval__aanbod_niet_langer_zinvol_volgens_gemeente: 0
",1006,10.196634907764,"real"
"12",3,"IV: 
instrument_reden_beeindiging_historie_uitval__aanbod_niet_langer_zinvol_volgens_gemeente: 1
",191,9.10824988078207,"real"
"13",3,"IV: 
instrument_reden_beeindiging_historie_uitval__aanbod_niet_langer_zinvol_volgens_gemeente: 2
",52,9.66542750929368,"real"
"14",3,"IV: 
instrument_reden_beeindiging_historie_uitval__aanbod_niet_langer_zinvol_volgens_gemeente: 3
",15,12.1951219512195,"real"
"15",3,"IV: 
instrument_reden_beeindiging_historie_uitval__aanbod_niet_langer_zinvol_volgens_gemeente: 4
",1,6.25,"real"
"16",4,"IV: 
instrument_reden_beeindiging_historie_uitval__aanbod_niet_langer_zinvol_volgens_gemeente: 0
",971,9.84188120818974,"real"
"17",4,"IV: 
instrument_reden_beeindiging_historie_uitval__aanbod_niet_langer_zinvol_volgens_gemeente: 1
",226,10.7773009060563,"real"
"18",4,"IV: 
instrument_reden_beeindiging_historie_uitval__aanbod_niet_langer_zinvol_volgens_gemeente: 2
",56,10.4089219330855,"real"
"19",4,"IV: 
instrument_reden_beeindiging_historie_uitval__aanbod_niet_langer_zinvol_volgens_gemeente: 3
",9,7.31707317073171,"real"
"20",4,"IV: 
instrument_reden_beeindiging_historie_uitval__aanbod_niet_langer_zinvol_volgens_gemeente: 4
",2,12.5,"real"
"21",4,"IV: 
instrument_reden_beeindiging_historie_uitval__aanbod_niet_langer_zinvol_volgens_gemeente: 5
",1,25,"real"
"22",5,"IV: 
instrument_reden_beeindiging_historie_uitval__aanbod_niet_langer_zinvol_volgens_gemeente: 0
",998,10.1155483478613,"real"
"23",5,"IV: 
instrument_reden_beeindiging_historie_uitval__aanbod_niet_langer_zinvol_volgens_gemeente: 1
",198,9.44206008583691,"real"
"24",5,"IV: 
instrument_reden_beeindiging_historie_uitval__aanbod_niet_langer_zinvol_volgens_gemeente: 2
",55,10.2230483271375,"real"
"25",5,"IV: 
instrument_reden_beeindiging_historie_uitval__aanbod_niet_langer_zinvol_volgens_gemeente: 3
",11,8.94308943089431,"real"
"26",5,"IV: 
instrument_reden_beeindiging_historie_uitval__aanbod_niet_langer_zinvol_volgens_gemeente: 4
",3,18.75,"real"
"27",6,"IV: 
instrument_reden_beeindiging_historie_uitval__aanbod_niet_langer_zinvol_volgens_gemeente: 0
",967,9.80133792823839,"real"
"28",6,"IV: 
instrument_reden_beeindiging_historie_uitval__aanbod_niet_langer_zinvol_volgens_gemeente: 1
",216,10.3004291845494,"real"
"29",6,"IV: 
instrument_reden_beeindiging_historie_uitval__aanbod_niet_langer_zinvol_volgens_gemeente: 2
",64,11.8959107806691,"real"
"30",6,"IV: 
instrument_reden_beeindiging_historie_uitval__aanbod_niet_langer_zinvol_volgens_gemeente: 3
",15,12.1951219512195,"real"
"31",6,"IV: 
instrument_reden_beeindiging_historie_uitval__aanbod_niet_langer_zinvol_volgens_gemeente: 4
",1,6.25,"real"
"32",6,"IV: 
instrument_reden_beeindiging_historie_uitval__aanbod_niet_langer_zinvol_volgens_gemeente: 5
",1,25,"real"
"33",7,"IV: 
instrument_reden_beeindiging_historie_uitval__aanbod_niet_langer_zinvol_volgens_gemeente: 0
",1001,10.1459558078249,"real"
"34",7,"IV: 
instrument_reden_beeindiging_historie_uitval__aanbod_niet_langer_zinvol_volgens_gemeente: 1
",189,9.01287553648069,"real"
"35",7,"IV: 
instrument_reden_beeindiging_historie_uitval__aanbod_niet_langer_zinvol_volgens_gemeente: 2
",60,11.1524163568773,"real"
"36",7,"IV: 
instrument_reden_beeindiging_historie_uitval__aanbod_niet_langer_zinvol_volgens_gemeente: 3
",13,10.5691056910569,"real"
"37",7,"IV: 
instrument_reden_beeindiging_historie_uitval__aanbod_niet_langer_zinvol_volgens_gemeente: 6
",1,100,"real"
"38",8,"IV: 
instrument_reden_beeindiging_historie_uitval__aanbod_niet_langer_zinvol_volgens_gemeente: 0
",964,9.77093046827488,"real"
"39",8,"IV: 
instrument_reden_beeindiging_historie_uitval__aanbod_niet_langer_zinvol_volgens_gemeente: 1
",226,10.7773009060563,"real"
"40",8,"IV: 
instrument_reden_beeindiging_historie_uitval__aanbod_niet_langer_zinvol_volgens_gemeente: 2
",58,10.7806691449814,"real"
"41",8,"IV: 
instrument_reden_beeindiging_historie_uitval__aanbod_niet_langer_zinvol_volgens_gemeente: 3
",13,10.5691056910569,"real"
"42",8,"IV: 
instrument_reden_beeindiging_historie_uitval__aanbod_niet_langer_zinvol_volgens_gemeente: 4
",2,12.5,"real"
"43",8,"IV: 
instrument_reden_beeindiging_historie_uitval__aanbod_niet_langer_zinvol_volgens_gemeente: 5
",1,25,"real"
"44",9,"IV: 
instrument_reden_beeindiging_historie_uitval__aanbod_niet_langer_zinvol_volgens_gemeente: 0
",941,9.53780660855463,"real"
"45",9,"IV: 
instrument_reden_beeindiging_historie_uitval__aanbod_niet_langer_zinvol_volgens_gemeente: 1
",246,11.7310443490701,"real"
"46",9,"IV: 
instrument_reden_beeindiging_historie_uitval__aanbod_niet_langer_zinvol_volgens_gemeente: 2
",58,10.7806691449814,"real"
"47",9,"IV: 
instrument_reden_beeindiging_historie_uitval__aanbod_niet_langer_zinvol_volgens_gemeente: 3
",16,13.0081300813008,"real"
"48",9,"IV: 
instrument_reden_beeindiging_historie_uitval__aanbod_niet_langer_zinvol_volgens_gemeente: 4
",2,12.5,"real"
"49",9,"IV: 
instrument_reden_beeindiging_historie_uitval__aanbod_niet_langer_zinvol_volgens_gemeente: 5
",1,25,"real"
"50",10,"IV: 
instrument_reden_beeindiging_historie_uitval__aanbod_niet_langer_zinvol_volgens_gemeente: 0
",974,9.87228866815325,"real"
"51",10,"IV: 
instrument_reden_beeindiging_historie_uitval__aanbod_niet_langer_zinvol_volgens_gemeente: 1
",218,10.3958035288507,"real"
"52",10,"IV: 
instrument_reden_beeindiging_historie_uitval__aanbod_niet_langer_zinvol_volgens_gemeente: 2
",60,11.1524163568773,"real"
"53",10,"IV: 
instrument_reden_beeindiging_historie_uitval__aanbod_niet_langer_zinvol_volgens_gemeente: 3
",10,8.13008130081301,"real"
"54",10,"IV: 
instrument_reden_beeindiging_historie_uitval__aanbod_niet_langer_zinvol_volgens_gemeente: 4
",2,12.5,"real"
"55",1,"IV: 
instrument_reden_beeindiging_historie_uitval__aanbod_niet_langer_zinvol_volgens_gemeente: 0
",1275,10.0830367734282,"real_conditional"
"56",1,"IV: 
instrument_reden_beeindiging_historie_uitval__aanbod_niet_langer_zinvol_volgens_gemeente: 1
",1275,10.0830367734282,"real_conditional"
"57",1,"IV: 
instrument_reden_beeindiging_historie_uitval__aanbod_niet_langer_zinvol_volgens_gemeente: 2
",1261,9.97232107552392,"real_conditional"
"58",1,"IV: 
instrument_reden_beeindiging_historie_uitval__aanbod_niet_langer_zinvol_volgens_gemeente: 3
",1260,9.9644128113879,"real_conditional"
"59",1,"IV: 
instrument_reden_beeindiging_historie_uitval__aanbod_niet_langer_zinvol_volgens_gemeente: 4
",1261,9.97232107552392,"real_conditional"
"60",1,"IV: 
instrument_reden_beeindiging_historie_uitval__aanbod_niet_langer_zinvol_volgens_gemeente: 5
",1260,9.9644128113879,"real_conditional"
"61",1,"IV: 
instrument_reden_beeindiging_historie_uitval__aanbod_niet_langer_zinvol_volgens_gemeente: 6
",1260,9.9644128113879,"real_conditional"
"62",2,"IV: 
instrument_reden_beeindiging_historie_uitval__aanbod_niet_langer_zinvol_volgens_gemeente: 0
",1262,9.98022933965994,"real_conditional"
"63",2,"IV: 
instrument_reden_beeindiging_historie_uitval__aanbod_niet_langer_zinvol_volgens_gemeente: 1
",1262,9.98022933965994,"real_conditional"
"64",2,"IV: 
instrument_reden_beeindiging_historie_uitval__aanbod_niet_langer_zinvol_volgens_gemeente: 2
",1265,10.003954132068,"real_conditional"
"65",2,"IV: 
instrument_reden_beeindiging_historie_uitval__aanbod_niet_langer_zinvol_volgens_gemeente: 3
",1266,10.011862396204,"real_conditional"
"66",2,"IV: 
instrument_reden_beeindiging_historie_uitval__aanbod_niet_langer_zinvol_volgens_gemeente: 4
",1265,10.003954132068,"real_conditional"
"67",2,"IV: 
instrument_reden_beeindiging_historie_uitval__aanbod_niet_langer_zinvol_volgens_gemeente: 5
",1266,10.011862396204,"real_conditional"
"68",2,"IV: 
instrument_reden_beeindiging_historie_uitval__aanbod_niet_langer_zinvol_volgens_gemeente: 6
",1266,10.011862396204,"real_conditional"
"69",3,"IV: 
instrument_reden_beeindiging_historie_uitval__aanbod_niet_langer_zinvol_volgens_gemeente: 0
",1267,10.0197706603401,"real_conditional"
"70",3,"IV: 
instrument_reden_beeindiging_historie_uitval__aanbod_niet_langer_zinvol_volgens_gemeente: 1
",1270,10.0434954527481,"real_conditional"
"71",3,"IV: 
instrument_reden_beeindiging_historie_uitval__aanbod_niet_langer_zinvol_volgens_gemeente: 2
",1263,9.98813760379597,"real_conditional"
