"","decile","IV","n","perc","data_type"
"1",1,"IV: 
instrument_reden_beeindiging_historie_uitval__klant_wz__ziet_af_van_aanbod: 0
",1199,10.4743600943479,"real"
"2",1,"IV: 
instrument_reden_beeindiging_historie_uitval__klant_wz__ziet_af_van_aanbod: 1
",54,5.21739130434783,"real"
"3",1,"IV: 
instrument_reden_beeindiging_historie_uitval__klant_wz__ziet_af_van_aanbod: 2
",9,7.08661417322835,"real"
"4",1,"IV: 
instrument_reden_beeindiging_historie_uitval__klant_wz__ziet_af_van_aanbod: 3
",2,6.25,"real"
"5",1,"IV: 
instrument_reden_beeindiging_historie_uitval__klant_wz__ziet_af_van_aanbod: 4
",1,25,"real"
"6",2,"IV: 
instrument_reden_beeindiging_historie_uitval__klant_wz__ziet_af_van_aanbod: 0
",1163,10.1598672141172,"real"
"7",2,"IV: 
instrument_reden_beeindiging_historie_uitval__klant_wz__ziet_af_van_aanbod: 1
",93,8.98550724637681,"real"
"8",2,"IV: 
instrument_reden_beeindiging_historie_uitval__klant_wz__ziet_af_van_aanbod: 2
",9,7.08661417322835,"real"
"9",3,"IV: 
instrument_reden_beeindiging_historie_uitval__klant_wz__ziet_af_van_aanbod: 0
",1158,10.1161876474185,"real"
"10",3,"IV: 
instrument_reden_beeindiging_historie_uitval__klant_wz__ziet_af_van_aanbod: 1
",95,9.17874396135266,"real"
"11",3,"IV: 
instrument_reden_beeindiging_historie_uitval__klant_wz__ziet_af_van_aanbod: 2
",7,5.51181102362205,"real"
"12",3,"IV: 
instrument_reden_beeindiging_historie_uitval__klant_wz__ziet_af_van_aanbod: 3
",5,15.625,"real"
"13",4,"IV: 
instrument_reden_beeindiging_historie_uitval__klant_wz__ziet_af_van_aanbod: 0
",1149,10.0375644273609,"real"
"14",4,"IV: 
instrument_reden_beeindiging_historie_uitval__klant_wz__ziet_af_van_aanbod: 1
",100,9.66183574879227,"real"
"15",4,"IV: 
instrument_reden_beeindiging_historie_uitval__klant_wz__ziet_af_van_aanbod: 2
",11,8.66141732283465,"real"
"16",4,"IV: 
instrument_reden_beeindiging_historie_uitval__klant_wz__ziet_af_van_aanbod: 3
",3,9.375,"real"
"17",4,"IV: 
instrument_reden_beeindiging_historie_uitval__klant_wz__ziet_af_van_aanbod: 4
",2,50,"real"
"18",5,"IV: 
instrument_reden_beeindiging_historie_uitval__klant_wz__ziet_af_van_aanbod: 0
",1153,10.0725080807198,"real"
"19",5,"IV: 
instrument_reden_beeindiging_historie_uitval__klant_wz__ziet_af_van_aanbod: 1
",96,9.27536231884058,"real"
"20",5,"IV: 
instrument_reden_beeindiging_historie_uitval__klant_wz__ziet_af_van_aanbod: 2
",14,11.0236220472441,"real"
"21",5,"IV: 
instrument_reden_beeindiging_historie_uitval__klant_wz__ziet_af_van_aanbod: 3
",2,6.25,"real"
"22",6,"IV: 
instrument_reden_beeindiging_historie_uitval__klant_wz__ziet_af_van_aanbod: 0
",1141,9.96767712064296,"real"
"23",6,"IV: 
instrument_reden_beeindiging_historie_uitval__klant_wz__ziet_af_van_aanbod: 1
",105,10.1449275362319,"real"
"24",6,"IV: 
instrument_reden_beeindiging_historie_uitval__klant_wz__ziet_af_van_aanbod: 2
",14,11.0236220472441,"real"
"25",6,"IV: 
instrument_reden_beeindiging_historie_uitval__klant_wz__ziet_af_van_aanbod: 3
",4,12.5,"real"
"26",7,"IV: 
instrument_reden_beeindiging_historie_uitval__klant_wz__ziet_af_van_aanbod: 0
",1158,10.1161876474185,"real"
"27",7,"IV: 
instrument_reden_beeindiging_historie_uitval__klant_wz__ziet_af_van_aanbod: 1
",95,9.17874396135266,"real"
"28",7,"IV: 
instrument_reden_beeindiging_historie_uitval__klant_wz__ziet_af_van_aanbod: 2
",9,7.08661417322835,"real"
"29",7,"IV: 
instrument_reden_beeindiging_historie_uitval__klant_wz__ziet_af_van_aanbod: 3
",2,6.25,"real"
"30",8,"IV: 
instrument_reden_beeindiging_historie_uitval__klant_wz__ziet_af_van_aanbod: 0
",1126,9.83663842054687,"real"
"31",8,"IV: 
instrument_reden_beeindiging_historie_uitval__klant_wz__ziet_af_van_aanbod: 1
",119,11.4975845410628,"real"
"32",8,"IV: 
instrument_reden_beeindiging_historie_uitval__klant_wz__ziet_af_van_aanbod: 2
",17,13.3858267716535,"real"
"33",8,"IV: 
instrument_reden_beeindiging_historie_uitval__klant_wz__ziet_af_van_aanbod: 3
",2,6.25,"real"
"34",9,"IV: 
instrument_reden_beeindiging_historie_uitval__klant_wz__ziet_af_van_aanbod: 0
",1109,9.68812789377129,"real"
"35",9,"IV: 
instrument_reden_beeindiging_historie_uitval__klant_wz__ziet_af_van_aanbod: 1
",137,13.2367149758454,"real"
"36",9,"IV: 
instrument_reden_beeindiging_historie_uitval__klant_wz__ziet_af_van_aanbod: 2
",14,11.0236220472441,"real"
"37",9,"IV: 
instrument_reden_beeindiging_historie_uitval__klant_wz__ziet_af_van_aanbod: 3
",3,9.375,"real"
"38",9,"IV: 
instrument_reden_beeindiging_historie_uitval__klant_wz__ziet_af_van_aanbod: 4
",1,25,"real"
"39",10,"IV: 
instrument_reden_beeindiging_historie_uitval__klant_wz__ziet_af_van_aanbod: 0
",1091,9.53088145365598,"real"
"40",10,"IV: 
instrument_reden_beeindiging_historie_uitval__klant_wz__ziet_af_van_aanbod: 1
",141,13.6231884057971,"real"
"41",10,"IV: 
instrument_reden_beeindiging_historie_uitval__klant_wz__ziet_af_van_aanbod: 2
",23,18.1102362204724,"real"
"42",10,"IV: 
instrument_reden_beeindiging_historie_uitval__klant_wz__ziet_af_van_aanbod: 3
",9,28.125,"real"
"43",1,"IV: 
instrument_reden_beeindiging_historie_uitval__klant_wz__ziet_af_van_aanbod: 0
",1444,11.419533412416,"real_conditional"
"44",1,"IV: 
instrument_reden_beeindiging_historie_uitval__klant_wz__ziet_af_van_aanbod: 1
",1327,10.4942665085014,"real_conditional"
"45",1,"IV: 
instrument_reden_beeindiging_historie_uitval__klant_wz__ziet_af_van_aanbod: 2
",1184,9.36338473705022,"real_conditional"
"46",1,"IV: 
instrument_reden_beeindiging_historie_uitval__klant_wz__ziet_af_van_aanbod: 3
",1184,9.36338473705022,"real_conditional"
"47",1,"IV: 
instrument_reden_beeindiging_historie_uitval__klant_wz__ziet_af_van_aanbod: 4
",1184,9.36338473705022,"real_conditional"
"48",2,"IV: 
instrument_reden_beeindiging_historie_uitval__klant_wz__ziet_af_van_aanbod: 0
",1291,10.2095689996046,"real_conditional"
"49",2,"IV: 
instrument_reden_beeindiging_historie_uitval__klant_wz__ziet_af_van_aanbod: 1
",1291,10.2095689996046,"real_conditional"
"50",2,"IV: 
instrument_reden_beeindiging_historie_uitval__klant_wz__ziet_af_van_aanbod: 2
",1247,9.86160537761961,"real_conditional"
"51",2,"IV: 
instrument_reden_beeindiging_historie_uitval__klant_wz__ziet_af_van_aanbod: 3
",1247,9.86160537761961,"real_conditional"
"52",2,"IV: 
instrument_reden_beeindiging_historie_uitval__klant_wz__ziet_af_van_aanbod: 4
",1247,9.86160537761961,"real_conditional"
"53",3,"IV: 
instrument_reden_beeindiging_historie_uitval__klant_wz__ziet_af_van_aanbod: 0
",1283,10.1463028865164,"real_conditional"
"54",3,"IV: 
instrument_reden_beeindiging_historie_uitval__klant_wz__ziet_af_van_aanbod: 1
",1261,9.97232107552392,"real_conditional"
"55",3,"IV: 
instrument_reden_beeindiging_historie_uitval__klant_wz__ziet_af_van_aanbod: 2
",1260,9.9644128113879,"real_conditional"
"56",3,"IV: 
instrument_reden_beeindiging_historie_uitval__klant_wz__ziet_af_van_aanbod: 3
",1260,9.9644128113879,"real_conditional"
"57",3,"IV: 
instrument_reden_beeindiging_historie_uitval__klant_wz__ziet_af_van_aanbod: 4
",1259,9.95650454725188,"real_conditional"
"58",4,"IV: 
instrument_reden_beeindiging_historie_uitval__klant_wz__ziet_af_van_aanbod: 0
",1258,9.94859628311586,"real_conditional"
"59",4,"IV: 
instrument_reden_beeindiging_historie_uitval__klant_wz__ziet_af_van_aanbod: 1
",1269,10.0355871886121,"real_conditional"
"60",4,"IV: 
instrument_reden_beeindiging_historie_uitval__klant_wz__ziet_af_van_aanbod: 2
",1265,10.003954132068,"real_conditional"
"61",4,"IV: 
instrument_reden_beeindiging_historie_uitval__klant_wz__ziet_af_van_aanbod: 3
",1265,10.003954132068,"real_conditional"
"62",4,"IV: 
instrument_reden_beeindiging_historie_uitval__klant_wz__ziet_af_van_aanbod: 4
",1266,10.011862396204,"real_conditional"
"63",5,"IV: 
instrument_reden_beeindiging_historie_uitval__klant_wz__ziet_af_van_aanbod: 0
",1263,9.98813760379597,"real_conditional"
"64",5,"IV: 
instrument_reden_beeindiging_historie_uitval__klant_wz__ziet_af_van_aanbod: 1
",1254,9.91696322657177,"real_conditional"
"65",5,"IV: 
instrument_reden_beeindiging_historie_uitval__klant_wz__ziet_af_van_aanbod: 2
",1269,10.0355871886121,"real_conditional"
"66",5,"IV: 
instrument_reden_beeindiging_historie_uitval__klant_wz__ziet_af_van_aanbod: 3
",1269,10.0355871886121,"real_conditional"
"67",5,"IV: 
instrument_reden_beeindiging_historie_uitval__klant_wz__ziet_af_van_aanbod: 4
",1268,10.0276789244761,"real_conditional"
"68",6,"IV: 
instrument_reden_beeindiging_historie_uitval__klant_wz__ziet_af_van_aanbod: 0
",1200,9.48991696322657,"real_conditional"
"69",6,"IV: 
instrument_reden_beeindiging_historie_uitval__klant_wz__ziet_af_van_aanbod: 1
",1240,9.80624752866746,"real_conditional"
"70",6,"IV: 
instrument_reden_beeindiging_historie_uitval__klant_wz__ziet_af_van_aanbod: 2
",1294,10.2332937920127,"real_conditional"
"71",6,"IV: 
instrument_reden_beeindiging_historie_uitval__klant_wz__ziet_af_van_aanbod: 3
",1294,10.2332937920127,"real_conditional"
"72",6,"IV: 
instrument_reden_beeindiging_historie_uitval__klant_wz__ziet_af_van_aanbod: 4
",1294,10.2332937920127,"real_conditional"
"73",7,"IV: 
instrument_reden_beeindiging_historie_uitval__klant_wz__ziet_af_van_aanbod: 0
",1296,10.2491103202847,"real_conditional"
"74",7,"IV: 
instrument_reden_beeindiging_historie_uitval__klant_wz__ziet_af_van_aanbod: 1
",1272,10.0593119810202,"real_conditional"
"75",7,"IV: 
instrument_reden_beeindiging_historie_uitval__klant_wz__ziet_af_van_aanbod: 2
",1251,9.8932384341637,"real_conditional"
"76",7,"IV: 
instrument_reden_beeindiging_historie_uitval__klant_wz__ziet_af_van_aanbod: 3
",1251,9.8932384341637,"real_conditional"
"77",7,"IV: 
instrument_reden_beeindiging_historie_uitval__klant_wz__ziet_af_van_aanbod: 4
",1252,9.90114669829972,"real_conditional"
"78",8,"IV: 
instrument_reden_beeindiging_historie_uitval__klant_wz__ziet_af_van_aanbod: 0
",1221,9.65599051008304,"real_conditional"
"79",8,"IV: 
instrument_reden_beeindiging_historie_uitval__klant_wz__ziet_af_van_aanbod: 1
",1249,9.87742190589166,"real_conditional"
"80",8,"IV: 
instrument_reden_beeindiging_historie_uitval__klant_wz__ziet_af_van_aanbod: 2
",1284,10.1542111506524,"real_conditional"
"81",8,"IV: 
instrument_reden_beeindiging_historie_uitval__klant_wz__ziet_af_van_aanbod: 3
",1284,10.1542111506524,"real_conditional"
"82",8,"IV: 
instrument_reden_beeindiging_historie_uitval__klant_wz__ziet_af_van_aanbod: 4
",1284,10.1542111506524,"real_conditional"
"83",9,"IV: 
instrument_reden_beeindiging_historie_uitval__klant_wz__ziet_af_van_aanbod: 0
",1202,9.50573349149862,"real_conditional"
"84",9,"IV: 
instrument_reden_beeindiging_historie_uitval__klant_wz__ziet_af_van_aanbod: 1
",1242,9.8220640569395,"real_conditional"
"85",9,"IV: 
instrument_reden_beeindiging_historie_uitval__klant_wz__ziet_af_van_aanbod: 2
",1293,10.2253855278766,"real_conditional"
