"","decile","IV","n","perc","data_type"
"1",1,"IV: 
ontheffing_reden_hist_medische_gronden: 0
ontheffing_hist_ind: 0
",629,10.0015900779138,"real"
"2",2,"IV: 
ontheffing_reden_hist_medische_gronden: 0
ontheffing_hist_ind: 0
",629,10.0015900779138,"real"
"3",3,"IV: 
ontheffing_reden_hist_medische_gronden: 0
ontheffing_hist_ind: 0
",629,10.0015900779138,"real"
"4",4,"IV: 
ontheffing_reden_hist_medische_gronden: 0
ontheffing_hist_ind: 0
",629,10.0015900779138,"real"
"5",5,"IV: 
ontheffing_reden_hist_medische_gronden: 0
ontheffing_hist_ind: 0
",629,10.0015900779138,"real"
"6",6,"IV: 
ontheffing_reden_hist_medische_gronden: 0
ontheffing_hist_ind: 0
",629,10.0015900779138,"real"
"7",7,"IV: 
ontheffing_reden_hist_medische_gronden: 0
ontheffing_hist_ind: 0
",629,10.0015900779138,"real"
"8",8,"IV: 
ontheffing_reden_hist_medische_gronden: 0
ontheffing_hist_ind: 0
",629,10.0015900779138,"real"
"9",9,"IV: 
ontheffing_reden_hist_medische_gronden: 0
ontheffing_hist_ind: 0
",629,10.0015900779138,"real"
"10",10,"IV: 
ontheffing_reden_hist_medische_gronden: 0
ontheffing_hist_ind: 0
",628,9.98568929877564,"real"
"11",1,"IV: 
ontheffing_reden_hist_medische_gronden: 0
ontheffing_hist_ind: 0
",1266,10.011862396204,"real_conditional"
"12",1,"IV: 
ontheffing_reden_hist_medische_gronden: 0
ontheffing_hist_ind: 1
",1265,10.003954132068,"real_conditional"
"13",1,"IV: 
ontheffing_reden_hist_medische_gronden: 1
ontheffing_hist_ind: 1
",1264,9.99604586793199,"real_conditional"
"14",1,"IV: 
ontheffing_reden_hist_medische_gronden: 2
ontheffing_hist_ind: 1
",1264,9.99604586793199,"real_conditional"
"15",1,"IV: 
ontheffing_reden_hist_medische_gronden: 3
ontheffing_hist_ind: 1
",1264,9.99604586793199,"real_conditional"
"16",1,"IV: 
ontheffing_reden_hist_medische_gronden: 4
ontheffing_hist_ind: 1
",1264,9.99604586793199,"real_conditional"
"17",2,"IV: 
ontheffing_reden_hist_medische_gronden: 0
ontheffing_hist_ind: 0
",1256,9.93277975484381,"real_conditional"
"18",2,"IV: 
ontheffing_reden_hist_medische_gronden: 0
ontheffing_hist_ind: 1
",1266,10.011862396204,"real_conditional"
"19",2,"IV: 
ontheffing_reden_hist_medische_gronden: 1
ontheffing_hist_ind: 1
",1267,10.0197706603401,"real_conditional"
"20",2,"IV: 
ontheffing_reden_hist_medische_gronden: 2
ontheffing_hist_ind: 1
",1266,10.011862396204,"real_conditional"
"21",2,"IV: 
ontheffing_reden_hist_medische_gronden: 3
ontheffing_hist_ind: 1
",1266,10.011862396204,"real_conditional"
"22",2,"IV: 
ontheffing_reden_hist_medische_gronden: 4
ontheffing_hist_ind: 1
",1266,10.011862396204,"real_conditional"
