"","decile","IV","n","perc","data_type"
"1",1,"IV: 
persoonlijke_eigenschappen_communicatie_opm: 0
",947,14.8829168631149,"real"
"2",1,"IV: 
persoonlijke_eigenschappen_communicatie_opm: 1
",318,5.06208213944604,"real"
"3",2,"IV: 
persoonlijke_eigenschappen_communicatie_opm: 0
",829,13.028445701713,"real"
"4",2,"IV: 
persoonlijke_eigenschappen_communicatie_opm: 1
",436,6.94046482012098,"real"
"5",3,"IV: 
persoonlijke_eigenschappen_communicatie_opm: 0
",720,11.3154172560113,"real"
"6",3,"IV: 
persoonlijke_eigenschappen_communicatie_opm: 1
",545,8.67558102515123,"real"
"7",4,"IV: 
persoonlijke_eigenschappen_communicatie_opm: 0
",600,9.42951438000943,"real"
"8",4,"IV: 
persoonlijke_eigenschappen_communicatie_opm: 1
",665,10.5858007004139,"real"
"9",5,"IV: 
persoonlijke_eigenschappen_communicatie_opm: 0
",565,8.87945937450888,"real"
"10",5,"IV: 
persoonlijke_eigenschappen_communicatie_opm: 1
",700,11.1429481056988,"real"
"11",6,"IV: 
persoonlijke_eigenschappen_communicatie_opm: 0
",555,8.72230080150872,"real"
"12",6,"IV: 
persoonlijke_eigenschappen_communicatie_opm: 1
",709,11.2862145813435,"real"
"13",7,"IV: 
persoonlijke_eigenschappen_communicatie_opm: 0
",550,8.64372151500864,"real"
"14",7,"IV: 
persoonlijke_eigenschappen_communicatie_opm: 1
",714,11.3658070678128,"real"
"15",8,"IV: 
persoonlijke_eigenschappen_communicatie_opm: 0
",552,8.67515322960868,"real"
"16",8,"IV: 
persoonlijke_eigenschappen_communicatie_opm: 1
",712,11.3339700732251,"real"
"17",9,"IV: 
persoonlijke_eigenschappen_communicatie_opm: 0
",530,8.32940436900833,"real"
"18",9,"IV: 
persoonlijke_eigenschappen_communicatie_opm: 1
",734,11.6841770136899,"real"
"19",10,"IV: 
persoonlijke_eigenschappen_communicatie_opm: 0
",515,8.09366650950809,"real"
"20",10,"IV: 
persoonlijke_eigenschappen_communicatie_opm: 1
",749,11.9229544730977,"real"
"21",1,"IV: 
persoonlijke_eigenschappen_communicatie_opm: 0
",1265,10.003954132068,"real_conditional"
"22",1,"IV: 
persoonlijke_eigenschappen_communicatie_opm: 1
",1264,9.99604586793199,"real_conditional"
"23",2,"IV: 
persoonlijke_eigenschappen_communicatie_opm: 0
",1264,9.99604586793199,"real_conditional"
"24",2,"IV: 
persoonlijke_eigenschappen_communicatie_opm: 1
",1265,10.003954132068,"real_conditional"
"25",3,"IV: 
persoonlijke_eigenschappen_communicatie_opm: 0
",1262,9.98022933965994,"real_conditional"
"26",3,"IV: 
persoonlijke_eigenschappen_communicatie_opm: 1
",1267,10.0197706603401,"real_conditional"
"27",4,"IV: 
persoonlijke_eigenschappen_communicatie_opm: 0
",1264,9.99604586793199,"real_conditional"
"28",4,"IV: 
persoonlijke_eigenschappen_communicatie_opm: 1
",1265,10.003954132068,"real_conditional"
"29",5,"IV: 
persoonlijke_eigenschappen_communicatie_opm: 0
",1266,10.011862396204,"real_conditional"
"30",5,"IV: 
persoonlijke_eigenschappen_communicatie_opm: 1
",1263,9.98813760379597,"real_conditional"
"31",6,"IV: 
persoonlijke_eigenschappen_communicatie_opm: 0
",1262,9.98022933965994,"real_conditional"
"32",6,"IV: 
persoonlijke_eigenschappen_communicatie_opm: 1
",1267,10.0197706603401,"real_conditional"
