"","decile","IV","n","perc","data_type"
"1",1,"IV: 
var_1: NA
",885,16.560628742515,"real"
"2",1,"IV: 
var_1: persoonlijke_eigenschappen_nl_spreken1
",131,5.78621908127209,"real"
"3",1,"IV: 
var_1: persoonlijke_eigenschappen_nl_spreken2
",207,4.86372180451128,"real"
"4",1,"IV: 
var_1: persoonlijke_eigenschappen_nl_spreken3
",42,5.37772087067862,"real"
"5",2,"IV: 
var_1: NA
",748,13.997005988024,"real"
"6",2,"IV: 
var_1: persoonlijke_eigenschappen_nl_spreken1
",170,7.50883392226148,"real"
"7",2,"IV: 
var_1: persoonlijke_eigenschappen_nl_spreken2
",273,6.41447368421053,"real"
"8",2,"IV: 
var_1: persoonlijke_eigenschappen_nl_spreken3
",74,9.47503201024328,"real"
"9",3,"IV: 
var_1: NA
",602,11.2649700598802,"real"
"10",3,"IV: 
var_1: persoonlijke_eigenschappen_nl_spreken1
",209,9.23144876325088,"real"
"11",3,"IV: 
var_1: persoonlijke_eigenschappen_nl_spreken2
",377,8.85808270676692,"real"
"12",3,"IV: 
var_1: persoonlijke_eigenschappen_nl_spreken3
",77,9.85915492957746,"real"
"13",4,"IV: 
var_1: NA
",494,9.2440119760479,"real"
"14",4,"IV: 
var_1: persoonlijke_eigenschappen_nl_spreken1
",254,11.2190812720848,"real"
"15",4,"IV: 
var_1: persoonlijke_eigenschappen_nl_spreken2
",429,10.0798872180451,"real"
"16",4,"IV: 
var_1: persoonlijke_eigenschappen_nl_spreken3
",88,11.2676056338028,"real"
"17",5,"IV: 
var_1: NA
",493,9.2252994011976,"real"
"18",5,"IV: 
var_1: persoonlijke_eigenschappen_nl_spreken1
",238,10.5123674911661,"real"
"19",5,"IV: 
var_1: persoonlijke_eigenschappen_nl_spreken2
",453,10.6437969924812,"real"
"20",5,"IV: 
var_1: persoonlijke_eigenschappen_nl_spreken3
",81,10.371318822023,"real"
"21",6,"IV: 
var_1: NA
",470,8.79491017964072,"real"
"22",6,"IV: 
var_1: persoonlijke_eigenschappen_nl_spreken1
",213,9.40812720848056,"real"
"23",6,"IV: 
var_1: persoonlijke_eigenschappen_nl_spreken2
",476,11.1842105263158,"real"
"24",6,"IV: 
var_1: persoonlijke_eigenschappen_nl_spreken3
",105,13.4443021766965,"real"
"25",7,"IV: 
var_1: NA
",436,8.15868263473054,"real"
"26",7,"IV: 
var_1: persoonlijke_eigenschappen_nl_spreken1
",260,11.4840989399293,"real"
"27",7,"IV: 
var_1: persoonlijke_eigenschappen_nl_spreken2
",471,11.0667293233083,"real"
"28",7,"IV: 
var_1: persoonlijke_eigenschappen_nl_spreken3
",97,12.4199743918054,"real"
"29",8,"IV: 
var_1: NA
",468,8.75748502994012,"real"
"30",8,"IV: 
var_1: persoonlijke_eigenschappen_nl_spreken1
",235,10.3798586572438,"real"
"31",8,"IV: 
var_1: persoonlijke_eigenschappen_nl_spreken2
",480,11.2781954887218,"real"
"32",8,"IV: 
var_1: persoonlijke_eigenschappen_nl_spreken3
",81,10.371318822023,"real"
"33",9,"IV: 
var_1: NA
",416,7.78443113772455,"real"
"34",9,"IV: 
var_1: persoonlijke_eigenschappen_nl_spreken1
",242,10.6890459363958,"real"
"35",9,"IV: 
var_1: persoonlijke_eigenschappen_nl_spreken2
",529,12.4295112781955,"real"
