"","decile","IV","n","perc","data_type"
"1",1,"IV: 
persoonlijke_eigenschappen_presentatie_opm: 0
",1020,13.6729222520107,"real"
"2",1,"IV: 
persoonlijke_eigenschappen_presentatie_opm: 1
",245,4.725168756027,"real"
"3",2,"IV: 
persoonlijke_eigenschappen_presentatie_opm: 0
",910,12.1983914209115,"real"
"4",2,"IV: 
persoonlijke_eigenschappen_presentatie_opm: 1
",355,6.8466730954677,"real"
"5",3,"IV: 
persoonlijke_eigenschappen_presentatie_opm: 0
",817,10.9517426273458,"real"
"6",3,"IV: 
persoonlijke_eigenschappen_presentatie_opm: 1
",448,8.64030858244937,"real"
"7",4,"IV: 
persoonlijke_eigenschappen_presentatie_opm: 0
",713,9.55764075067024,"real"
"8",4,"IV: 
persoonlijke_eigenschappen_presentatie_opm: 1
",552,10.6460945033751,"real"
"9",5,"IV: 
persoonlijke_eigenschappen_presentatie_opm: 0
",690,9.24932975871314,"real"
"10",5,"IV: 
persoonlijke_eigenschappen_presentatie_opm: 1
",575,11.0896817743491,"real"
"11",6,"IV: 
persoonlijke_eigenschappen_presentatie_opm: 0
",688,9.22252010723861,"real"
"12",6,"IV: 
persoonlijke_eigenschappen_presentatie_opm: 1
",576,11.1089681774349,"real"
"13",7,"IV: 
persoonlijke_eigenschappen_presentatie_opm: 0
",676,9.06166219839142,"real"
"14",7,"IV: 
persoonlijke_eigenschappen_presentatie_opm: 1
",588,11.3404050144648,"real"
"15",8,"IV: 
persoonlijke_eigenschappen_presentatie_opm: 0
",668,8.9544235924933,"real"
"16",8,"IV: 
persoonlijke_eigenschappen_presentatie_opm: 1
",596,11.4946962391514,"real"
"17",9,"IV: 
persoonlijke_eigenschappen_presentatie_opm: 0
",652,8.73994638069705,"real"
"18",9,"IV: 
persoonlijke_eigenschappen_presentatie_opm: 1
",612,11.8032786885246,"real"
"19",10,"IV: 
persoonlijke_eigenschappen_presentatie_opm: 0
",626,8.39142091152815,"real"
"20",10,"IV: 
persoonlijke_eigenschappen_presentatie_opm: 1
",638,12.304725168756,"real"
"21",1,"IV: 
persoonlijke_eigenschappen_presentatie_opm: 0
",1265,10.003954132068,"real_conditional"
"22",1,"IV: 
persoonlijke_eigenschappen_presentatie_opm: 1
",1264,9.99604586793199,"real_conditional"
"23",2,"IV: 
persoonlijke_eigenschappen_presentatie_opm: 0
",1263,9.98813760379597,"real_conditional"
"24",2,"IV: 
persoonlijke_eigenschappen_presentatie_opm: 1
",1266,10.011862396204,"real_conditional"
"25",3,"IV: 
persoonlijke_eigenschappen_presentatie_opm: 0
",1263,9.98813760379597,"real_conditional"
"26",3,"IV: 
persoonlijke_eigenschappen_presentatie_opm: 1
",1266,10.011862396204,"real_conditional"
"27",4,"IV: 
persoonlijke_eigenschappen_presentatie_opm: 0
",1264,9.99604586793199,"real_conditional"
"28",4,"IV: 
persoonlijke_eigenschappen_presentatie_opm: 1
",1265,10.003954132068,"real_conditional"
"29",5,"IV: 
persoonlijke_eigenschappen_presentatie_opm: 0
",1263,9.98813760379597,"real_conditional"
"30",5,"IV: 
persoonlijke_eigenschappen_presentatie_opm: 1
",1266,10.011862396204,"real_conditional"
"31",6,"IV: 
persoonlijke_eigenschappen_presentatie_opm: 0
",1266,10.011862396204,"real_conditional"
"32",6,"IV: 
persoonlijke_eigenschappen_presentatie_opm: 1
",1263,9.98813760379597,"real_conditional"
"33",7,"IV: 
persoonlijke_eigenschappen_presentatie_opm: 0
",1264,9.99604586793199,"real_conditional"
"34",7,"IV: 
persoonlijke_eigenschappen_presentatie_opm: 1
",1265,10.003954132068,"real_conditional"
"35",8,"IV: 
persoonlijke_eigenschappen_presentatie_opm: 0
",1266,10.011862396204,"real_conditional"
"36",8,"IV: 
persoonlijke_eigenschappen_presentatie_opm: 1
",1263,9.98813760379597,"real_conditional"
"37",9,"IV: 
persoonlijke_eigenschappen_presentatie_opm: 0
",1263,9.98813760379597,"real_conditional"
"38",9,"IV: 
persoonlijke_eigenschappen_presentatie_opm: 1
",1266,10.011862396204,"real_conditional"
"39",10,"IV: 
persoonlijke_eigenschappen_presentatie_opm: 0
",1268,10.0276789244761,"real_conditional"
"40",10,"IV: 
persoonlijke_eigenschappen_presentatie_opm: 1
",1261,9.97232107552392,"real_conditional"
