"","decile","IV","n","perc","data_type"
"1",1,"IV: 
pla_einde_doelstelling_niet_bereikt__overdracht: 0
",1141,11.0787455092727,"real"
"2",1,"IV: 
pla_einde_doelstelling_niet_bereikt__overdracht: 1
",116,6.0197197716658,"real"
"3",1,"IV: 
pla_einde_doelstelling_niet_bereikt__overdracht: 2
",8,2.19178082191781,"real"
"4",2,"IV: 
pla_einde_doelstelling_niet_bereikt__overdracht: 0
",1107,10.7486163705214,"real"
"5",2,"IV: 
pla_einde_doelstelling_niet_bereikt__overdracht: 1
",143,7.42086144265698,"real"
"6",2,"IV: 
pla_einde_doelstelling_niet_bereikt__overdracht: 2
",14,3.83561643835616,"real"
"7",2,"IV: 
pla_einde_doelstelling_niet_bereikt__overdracht: 4
",1,9.09090909090909,"real"
"8",3,"IV: 
pla_einde_doelstelling_niet_bereikt__overdracht: 0
",1079,10.4767453150791,"real"
"9",3,"IV: 
pla_einde_doelstelling_niet_bereikt__overdracht: 1
",163,8.4587441619097,"real"
"10",3,"IV: 
pla_einde_doelstelling_niet_bereikt__overdracht: 2
",23,6.3013698630137,"real"
"11",4,"IV: 
pla_einde_doelstelling_niet_bereikt__overdracht: 0
",1044,10.1369064957763,"real"
"12",4,"IV: 
pla_einde_doelstelling_niet_bereikt__overdracht: 1
",186,9.65230928905034,"real"
"13",4,"IV: 
pla_einde_doelstelling_niet_bereikt__overdracht: 2
",30,8.21917808219178,"real"
"14",4,"IV: 
pla_einde_doelstelling_niet_bereikt__overdracht: 3
",5,11.9047619047619,"real"
"15",5,"IV: 
pla_einde_doelstelling_niet_bereikt__overdracht: 0
",1025,9.9524225652976,"real"
"16",5,"IV: 
pla_einde_doelstelling_niet_bereikt__overdracht: 1
",193,10.0155682407888,"real"
"17",5,"IV: 
pla_einde_doelstelling_niet_bereikt__overdracht: 2
",38,10.4109589041096,"real"
"18",5,"IV: 
pla_einde_doelstelling_niet_bereikt__overdracht: 3
",7,16.6666666666667,"real"
"19",5,"IV: 
pla_einde_doelstelling_niet_bereikt__overdracht: 4
",1,9.09090909090909,"real"
"20",5,"IV: 
pla_einde_doelstelling_niet_bereikt__overdracht: 5
",1,100,"real"
"21",6,"IV: 
pla_einde_doelstelling_niet_bereikt__overdracht: 0
",1007,9.77764831537042,"real"
"22",6,"IV: 
pla_einde_doelstelling_niet_bereikt__overdracht: 1
",203,10.5345096004152,"real"
"23",6,"IV: 
pla_einde_doelstelling_niet_bereikt__overdracht: 2
",46,12.6027397260274,"real"
