"","IV","variable","n","mean","sd","share_above_td_threshold","share_above_rw_threshold","perc_misrep_td_threshold","perc_misrep_rw_threshold","data_type"
"1","IV: 
pla_einde_other: 0
","Ja",11175,0.482,0.153,0.0906487695749441,0.266308724832215,-0.935123042505594,16.6308724832215,"real"
"2","IV: 
pla_einde_other: 1
","Ja",1183,0.536,0.148,0.159763313609467,0.375316990701606,5.97633136094675,27.5316990701606,"real"
"3","IV: 
pla_einde_other: 2
","Ja",242,0.576,0.14,0.206611570247934,0.487603305785124,10.6611570247934,38.7603305785124,"real"
"4","IV: 
pla_einde_other: 3
","Ja",37,0.612,0.139,0.324324324324324,0.621621621621622,22.4324324324324,52.1621621621622,"real"
"5","IV: 
pla_einde_other: 4
","Ja",6,0.651,0.105,0.166666666666667,0.666666666666667,6.66666666666667,56.6666666666667,"real"
"6","IV: 
pla_einde_other: 5
","Ja",2,0.547,0.192,0,0.5,-10,40,"real"
"7","IV: 
pla_einde_other: 0
","Ja",12645,0.489,0.153,0.099644128113879,0.281613285883749,-0.0355871886121004,18.1613285883749,"real_conditional"
"8","IV: 
pla_einde_other: 1
","Ja",12645,0.491,0.153,0.101383946223804,0.284143930407276,0.138394622380388,18.4143930407276,"real_conditional"
"9","IV: 
pla_einde_other: 2
","Ja",12645,0.491,0.153,0.101383946223804,0.284143930407276,0.138394622380388,18.4143930407276,"real_conditional"
"10","IV: 
pla_einde_other: 3
","Ja",12645,0.491,0.153,0.101383946223804,0.284143930407276,0.138394622380388,18.4143930407276,"real_conditional"
"11","IV: 
pla_einde_other: 4
","Ja",12645,0.491,0.153,0.101383946223804,0.284143930407276,0.138394622380388,18.4143930407276,"real_conditional"
"12","IV: 
pla_einde_other: 5
","Ja",12645,0.491,0.153,0.101383946223804,0.284143930407276,0.138394622380388,18.4143930407276,"real_conditional"
"13","IV: 
pla_einde_other: 0
","Ja",9042,0.608,0.086,0.090687900906879,0.624751161247512,-0.9312099093121,52.4751161247512,"synth"
"14","IV: 
pla_einde_other: 1
","Ja",3597,0.622,0.083,0.123436196830692,0.682791214901307,2.34361968306922,58.2791214901307,"synth"
"15","IV: 
pla_einde_other: 2
","Ja",6,0.649,0.085,0.166666666666667,0.666666666666667,6.66666666666667,56.6666666666667,"synth"
"16","IV: 
pla_einde_other: 0
","Ja",12508,0.611,0.085,0.0986568596098497,0.638871122481612,-0.134314039015031,53.8871122481612,"synth_conditional"
"17","IV: 
pla_einde_other: 1
","Ja",12508,0.613,0.085,0.101535017588743,0.64566677326511,0.153501758874319,54.566677326511,"synth_conditional"
"18","IV: 
pla_einde_other: 2
","Ja",12508,0.613,0.085,0.101535017588743,0.64566677326511,0.153501758874319,54.566677326511,"synth_conditional"
"19","IV: 
pla_einde_other: 3
","Ja",12508,0.613,0.085,0.101535017588743,0.64566677326511,0.153501758874319,54.566677326511,"synth_conditional"
"20","IV: 
pla_einde_other: 4
","Ja",12508,0.613,0.085,0.101535017588743,0.64566677326511,0.153501758874319,54.566677326511,"synth_conditional"
"21","IV: 
pla_einde_other: 5
","Ja",12508,0.613,0.085,0.101535017588743,0.64566677326511,0.153501758874319,54.566677326511,"synth_conditional"
