"","decile","IV","n","perc","data_type"
"1",1,"IV: 
pla_hist_pla_categorie_doelstelling_1: 0
",435,5.08652946679139,"real"
"2",1,"IV: 
pla_hist_pla_categorie_doelstelling_1: 1
",459,17.7769171185128,"real"
"3",1,"IV: 
pla_hist_pla_categorie_doelstelling_1: 2
",267,23.5449735449735,"real"
"4",1,"IV: 
pla_hist_pla_categorie_doelstelling_1: 3
",79,27.719298245614,"real"
"5",1,"IV: 
pla_hist_pla_categorie_doelstelling_1: 4
",22,29.7297297297297,"real"
"6",1,"IV: 
pla_hist_pla_categorie_doelstelling_1: 5
",3,20,"real"
"7",2,"IV: 
pla_hist_pla_categorie_doelstelling_1: 0
",616,7.20299345182413,"real"
"8",2,"IV: 
pla_hist_pla_categorie_doelstelling_1: 1
",391,15.143299767622,"real"
"9",2,"IV: 
pla_hist_pla_categorie_doelstelling_1: 2
",182,16.0493827160494,"real"
"10",2,"IV: 
pla_hist_pla_categorie_doelstelling_1: 3
",59,20.7017543859649,"real"
"11",2,"IV: 
pla_hist_pla_categorie_doelstelling_1: 4
",15,20.2702702702703,"real"
"12",2,"IV: 
pla_hist_pla_categorie_doelstelling_1: 5
",2,13.3333333333333,"real"
"13",3,"IV: 
pla_hist_pla_categorie_doelstelling_1: 0
",769,8.99204864359214,"real"
"14",3,"IV: 
pla_hist_pla_categorie_doelstelling_1: 1
",321,12.4322230828815,"real"
"15",3,"IV: 
pla_hist_pla_categorie_doelstelling_1: 2
",136,11.9929453262787,"real"
"16",3,"IV: 
pla_hist_pla_categorie_doelstelling_1: 3
",30,10.5263157894737,"real"
"17",3,"IV: 
pla_hist_pla_categorie_doelstelling_1: 4
",7,9.45945945945946,"real"
"18",3,"IV: 
pla_hist_pla_categorie_doelstelling_1: 5
",1,6.66666666666667,"real"
"19",3,"IV: 
pla_hist_pla_categorie_doelstelling_1: 6
",1,33.3333333333333,"real"
"20",4,"IV: 
pla_hist_pla_categorie_doelstelling_1: 0
",870,10.1730589335828,"real"
"21",4,"IV: 
pla_hist_pla_categorie_doelstelling_1: 1
",259,10.0309837335399,"real"
"22",4,"IV: 
pla_hist_pla_categorie_doelstelling_1: 2
",105,9.25925925925926,"real"
"23",4,"IV: 
pla_hist_pla_categorie_doelstelling_1: 3
",26,9.12280701754386,"real"
"24",4,"IV: 
pla_hist_pla_categorie_doelstelling_1: 4
",3,4.05405405405405,"real"
"25",4,"IV: 
pla_hist_pla_categorie_doelstelling_1: 5
",1,6.66666666666667,"real"
"26",4,"IV: 
pla_hist_pla_categorie_doelstelling_1: 6
",1,33.3333333333333,"real"
"27",5,"IV: 
pla_hist_pla_categorie_doelstelling_1: 0
",903,10.5589335827877,"real"
"28",5,"IV: 
pla_hist_pla_categorie_doelstelling_1: 1
",239,9.2563903950426,"real"
"29",5,"IV: 
pla_hist_pla_categorie_doelstelling_1: 2
",91,8.02469135802469,"real"
"30",5,"IV: 
pla_hist_pla_categorie_doelstelling_1: 3
",25,8.7719298245614,"real"
"31",5,"IV: 
pla_hist_pla_categorie_doelstelling_1: 4
",5,6.75675675675676,"real"
"32",5,"IV: 
pla_hist_pla_categorie_doelstelling_1: 5
",1,6.66666666666667,"real"
"33",5,"IV: 
pla_hist_pla_categorie_doelstelling_1: 6
",1,33.3333333333333,"real"
"34",6,"IV: 
pla_hist_pla_categorie_doelstelling_1: 0
",925,10.8161833489242,"real"
"35",6,"IV: 
pla_hist_pla_categorie_doelstelling_1: 1
",223,8.63671572424477,"real"
"36",6,"IV: 
pla_hist_pla_categorie_doelstelling_1: 2
",86,7.58377425044092,"real"
"37",6,"IV: 
pla_hist_pla_categorie_doelstelling_1: 3
",22,7.71929824561404,"real"
"38",6,"IV: 
pla_hist_pla_categorie_doelstelling_1: 4
",6,8.10810810810811,"real"
"39",6,"IV: 
pla_hist_pla_categorie_doelstelling_1: 5
",2,13.3333333333333,"real"
"40",7,"IV: 
pla_hist_pla_categorie_doelstelling_1: 0
",958,11.2020579981291,"real"
"41",7,"IV: 
pla_hist_pla_categorie_doelstelling_1: 1
",206,7.97831138652208,"real"
"42",7,"IV: 
pla_hist_pla_categorie_doelstelling_1: 2
",83,7.31922398589065,"real"
