"","IV","variable","n","mean","sd","share_above_td_threshold","share_above_rw_threshold","perc_misrep_td_threshold","perc_misrep_rw_threshold","data_type"
"1","IV: 
pla_hist_pla_categorie_doelstelling_9: 0
","Ja",9376,0.502,0.16,0.128732935153584,0.328711604095563,2.87329351535836,22.8711604095563,"real"
"2","IV: 
pla_hist_pla_categorie_doelstelling_9: 1
","Ja",2904,0.45,0.126,0.0185950413223141,0.148071625344353,-8.1404958677686,4.80716253443526,"real"
"3","IV: 
pla_hist_pla_categorie_doelstelling_9: 2
","Ja",338,0.459,0.121,0.0118343195266272,0.150887573964497,-8.81656804733728,5.0887573964497,"real"
"4","IV: 
pla_hist_pla_categorie_doelstelling_9: 3
","Ja",26,0.425,0.145,0,0.115384615384615,-10,1.53846153846154,"real"
"5","IV: 
pla_hist_pla_categorie_doelstelling_9: 4
","Ja",1,0.287,NA,0,0,-10,-10,"real"
"6","IV: 
pla_hist_pla_categorie_doelstelling_9: 0
","Ja",12645,0.489,0.153,0.100276789244761,0.28208778173191,0.0276789244760767,18.208778173191,"real_conditional"
"7","IV: 
pla_hist_pla_categorie_doelstelling_9: 1
","Ja",12645,0.488,0.153,0.0986951364175564,0.280347963621985,-0.130486358244365,18.0347963621985,"real_conditional"
"8","IV: 
pla_hist_pla_categorie_doelstelling_9: 2
","Ja",12645,0.488,0.153,0.0986951364175564,0.280347963621985,-0.130486358244365,18.0347963621985,"real_conditional"
"9","IV: 
pla_hist_pla_categorie_doelstelling_9: 3
","Ja",12645,0.488,0.153,0.0986951364175564,0.280347963621985,-0.130486358244365,18.0347963621985,"real_conditional"
"10","IV: 
pla_hist_pla_categorie_doelstelling_9: 4
","Ja",12645,0.488,0.153,0.0986951364175564,0.280347963621985,-0.130486358244365,18.0347963621985,"real_conditional"
"11","IV: 
pla_hist_pla_categorie_doelstelling_9: 0
","Ja",7243,0.618,0.087,0.124395968521331,0.669059781858346,2.43959685213309,56.9059781858346,"synth"
"12","IV: 
pla_hist_pla_categorie_doelstelling_9: 1
","Ja",5246,0.603,0.082,0.0686237133053755,0.604079298513153,-3.13762866946245,50.4079298513153,"synth"
"13","IV: 
pla_hist_pla_categorie_doelstelling_9: 2
","Ja",156,0.593,0.084,0.0256410256410256,0.602564102564103,-7.43589743589744,50.2564102564103,"synth"
"14","IV: 
pla_hist_pla_categorie_doelstelling_9: 0
","Ja",12508,0.612,0.085,0.100095938599296,0.641109689798529,0.00959385992964495,54.1109689798529,"synth_conditional"
"15","IV: 
pla_hist_pla_categorie_doelstelling_9: 1
","Ja",12508,0.612,0.085,0.0986568596098497,0.640310201471059,-0.134314039015031,54.0310201471059,"synth_conditional"
"16","IV: 
pla_hist_pla_categorie_doelstelling_9: 2
","Ja",12508,0.612,0.085,0.0986568596098497,0.640310201471059,-0.134314039015031,54.0310201471059,"synth_conditional"
"17","IV: 
pla_hist_pla_categorie_doelstelling_9: 3
","Ja",12508,0.612,0.085,0.0986568596098497,0.640310201471059,-0.134314039015031,54.0310201471059,"synth_conditional"
"18","IV: 
pla_hist_pla_categorie_doelstelling_9: 4
","Ja",12508,0.612,0.085,0.0986568596098497,0.640310201471059,-0.134314039015031,54.0310201471059,"synth_conditional"
