"","decile","IV","n","perc","data_type"
"1",1,"IV: 
pla_hist_pla_categorie_doelstelling_other: 0
",1219,10.4090171633507,"real"
"2",1,"IV: 
pla_hist_pla_categorie_doelstelling_other: 1
",45,6.56934306569343,"real"
"3",1,"IV: 
pla_hist_pla_categorie_doelstelling_other: 2
",1,0.675675675675676,"real"
"4",2,"IV: 
pla_hist_pla_categorie_doelstelling_other: 0
",1225,10.4602510460251,"real"
"5",2,"IV: 
pla_hist_pla_categorie_doelstelling_other: 1
",38,5.54744525547445,"real"
"6",2,"IV: 
pla_hist_pla_categorie_doelstelling_other: 2
",1,0.675675675675676,"real"
"7",2,"IV: 
pla_hist_pla_categorie_doelstelling_other: 3
",1,2,"real"
"8",3,"IV: 
pla_hist_pla_categorie_doelstelling_other: 0
",1220,10.4175561437964,"real"
"9",3,"IV: 
pla_hist_pla_categorie_doelstelling_other: 1
",40,5.83941605839416,"real"
"10",3,"IV: 
pla_hist_pla_categorie_doelstelling_other: 2
",4,2.7027027027027,"real"
"11",3,"IV: 
pla_hist_pla_categorie_doelstelling_other: 5
",1,7.69230769230769,"real"
"12",4,"IV: 
pla_hist_pla_categorie_doelstelling_other: 0
",1216,10.3834002220135,"real"
"13",4,"IV: 
pla_hist_pla_categorie_doelstelling_other: 1
",38,5.54744525547445,"real"
"14",4,"IV: 
pla_hist_pla_categorie_doelstelling_other: 2
",5,3.37837837837838,"real"
"15",4,"IV: 
pla_hist_pla_categorie_doelstelling_other: 3
",5,10,"real"
"16",4,"IV: 
pla_hist_pla_categorie_doelstelling_other: 4
",1,3.57142857142857,"real"
"17",5,"IV: 
pla_hist_pla_categorie_doelstelling_other: 0
",1194,10.1955426522073,"real"
"18",5,"IV: 
pla_hist_pla_categorie_doelstelling_other: 1
",57,8.32116788321168,"real"
"19",5,"IV: 
pla_hist_pla_categorie_doelstelling_other: 2
",10,6.75675675675676,"real"
"20",5,"IV: 
pla_hist_pla_categorie_doelstelling_other: 3
",1,2,"real"
"21",5,"IV: 
pla_hist_pla_categorie_doelstelling_other: 4
",3,10.7142857142857,"real"
"22",6,"IV: 
pla_hist_pla_categorie_doelstelling_other: 0
",1170,9.99060712150969,"real"
"23",6,"IV: 
pla_hist_pla_categorie_doelstelling_other: 1
",74,10.8029197080292,"real"
"24",6,"IV: 
pla_hist_pla_categorie_doelstelling_other: 2
",15,10.1351351351351,"real"
"25",6,"IV: 
pla_hist_pla_categorie_doelstelling_other: 3
",3,6,"real"
"26",6,"IV: 
pla_hist_pla_categorie_doelstelling_other: 4
",1,3.57142857142857,"real"
"27",6,"IV: 
pla_hist_pla_categorie_doelstelling_other: 5
",1,7.69230769230769,"real"
"28",7,"IV: 
pla_hist_pla_categorie_doelstelling_other: 0
",1189,10.1528477499787,"real"
"29",7,"IV: 
pla_hist_pla_categorie_doelstelling_other: 1
",52,7.59124087591241,"real"
"30",7,"IV: 
pla_hist_pla_categorie_doelstelling_other: 2
",18,12.1621621621622,"real"
"31",7,"IV: 
pla_hist_pla_categorie_doelstelling_other: 3
",3,6,"real"
"32",7,"IV: 
pla_hist_pla_categorie_doelstelling_other: 4
",2,7.14285714285714,"real"
"33",8,"IV: 
pla_hist_pla_categorie_doelstelling_other: 0
",1161,9.91375629749808,"real"
"34",8,"IV: 
pla_hist_pla_categorie_doelstelling_other: 1
",72,10.5109489051095,"real"
"35",8,"IV: 
pla_hist_pla_categorie_doelstelling_other: 2
",22,14.8648648648649,"real"
"36",8,"IV: 
pla_hist_pla_categorie_doelstelling_other: 3
",5,10,"real"
"37",8,"IV: 
pla_hist_pla_categorie_doelstelling_other: 4
",2,7.14285714285714,"real"
"38",8,"IV: 
pla_hist_pla_categorie_doelstelling_other: 5
",2,15.3846153846154,"real"
"39",9,"IV: 
pla_hist_pla_categorie_doelstelling_other: 0
",1119,9.55511911877722,"real"
