"","decile","IV","n","perc","data_type"
"1",1,"IV: 
pla_historie_ontwikkeling: 0
",304,5.37767557049354,"real"
"2",1,"IV: 
pla_historie_ontwikkeling: 1
",961,13.7442791762014,"real"
"3",2,"IV: 
pla_historie_ontwikkeling: 0
",419,7.41199363169998,"real"
"4",2,"IV: 
pla_historie_ontwikkeling: 1
",846,12.0995423340961,"real"
"5",3,"IV: 
pla_historie_ontwikkeling: 0
",453,8.01344418892623,"real"
"6",3,"IV: 
pla_historie_ontwikkeling: 1
",812,11.6132723112128,"real"
"7",4,"IV: 
pla_historie_ontwikkeling: 0
",428,7.57120113214223,"real"
"8",4,"IV: 
pla_historie_ontwikkeling: 1
",837,11.970823798627,"real"
"9",5,"IV: 
pla_historie_ontwikkeling: 0
",482,8.52644613479568,"real"
"10",5,"IV: 
pla_historie_ontwikkeling: 1
",783,11.1985125858124,"real"
"11",6,"IV: 
pla_historie_ontwikkeling: 0
",532,9.4109322483637,"real"
"12",6,"IV: 
pla_historie_ontwikkeling: 1
",732,10.4691075514874,"real"
"13",7,"IV: 
pla_historie_ontwikkeling: 0
",547,9.67627808243411,"real"
"14",7,"IV: 
pla_historie_ontwikkeling: 1
",717,10.2545766590389,"real"
"15",8,"IV: 
pla_historie_ontwikkeling: 0
",638,11.2860428091279,"real"
"16",8,"IV: 
pla_historie_ontwikkeling: 1
",626,8.95308924485126,"real"
"17",9,"IV: 
pla_historie_ontwikkeling: 0
",799,14.1340880948169,"real"
"18",9,"IV: 
pla_historie_ontwikkeling: 1
",465,6.65045766590389,"real"
"19",10,"IV: 
pla_historie_ontwikkeling: 0
",1051,18.5918981071997,"real"
"20",10,"IV: 
pla_historie_ontwikkeling: 1
",213,3.04633867276888,"real"
"21",1,"IV: 
pla_historie_ontwikkeling: 0
",1124,8.88888888888889,"real_conditional"
"22",1,"IV: 
pla_historie_ontwikkeling: 1
",1405,11.1111111111111,"real_conditional"
"23",2,"IV: 
pla_historie_ontwikkeling: 0
",1147,9.0707789640174,"real_conditional"
"24",2,"IV: 
pla_historie_ontwikkeling: 1
",1382,10.9292210359826,"real_conditional"
"25",3,"IV: 
pla_historie_ontwikkeling: 0
",1176,9.30011862396204,"real_conditional"
"26",3,"IV: 
pla_historie_ontwikkeling: 1
",1353,10.699881376038,"real_conditional"
"27",4,"IV: 
pla_historie_ontwikkeling: 0
",1183,9.3554764729142,"real_conditional"
"28",4,"IV: 
pla_historie_ontwikkeling: 1
",1346,10.6445235270858,"real_conditional"
"29",5,"IV: 
pla_historie_ontwikkeling: 0
",1196,9.45828390668248,"real_conditional"
"30",5,"IV: 
pla_historie_ontwikkeling: 1
",1333,10.5417160933175,"real_conditional"
"31",6,"IV: 
pla_historie_ontwikkeling: 0
",1269,10.0355871886121,"real_conditional"
"32",6,"IV: 
pla_historie_ontwikkeling: 1
",1260,9.9644128113879,"real_conditional"
"33",7,"IV: 
pla_historie_ontwikkeling: 0
",1245,9.84578884934757,"real_conditional"
