"","IV","variable","n","mean","sd","share_above_td_threshold","share_above_rw_threshold","perc_misrep_td_threshold","perc_misrep_rw_threshold","data_type"
"1","IV: 
pla_ondertekeningen_actueel: 0
pla_ondertekeningen_historie: 0
","Ja",1798,0.544,0.138,0.146829810901001,0.406562847608454,4.68298109010011,30.6562847608454,"real"
"2","IV: 
pla_ondertekeningen_actueel: 0
pla_ondertekeningen_historie: 1
","Ja",1874,0.518,0.149,0.12059765208111,0.355389541088581,2.05976520811099,25.5389541088581,"real"
"3","IV: 
pla_ondertekeningen_actueel: 0
pla_ondertekeningen_historie: 10
","Ja",4,0.631,0.104,0.25,0.75,15,65,"real"
"4","IV: 
pla_ondertekeningen_actueel: 0
pla_ondertekeningen_historie: 11
","Ja",2,0.682,0.025,0.5,1,40,90,"real"
"5","IV: 
pla_ondertekeningen_actueel: 0
pla_ondertekeningen_historie: 12
","Ja",1,0.667,NA,0,1,-10,90,"real"
"6","IV: 
pla_ondertekeningen_actueel: 0
pla_ondertekeningen_historie: 13
","Ja",1,0.719,NA,1,1,90,90,"real"
"7","IV: 
pla_ondertekeningen_actueel: 0
pla_ondertekeningen_historie: 2
","Ja",1216,0.504,0.154,0.116776315789474,0.326480263157895,1.67763157894737,22.6480263157895,"real"
"8","IV: 
pla_ondertekeningen_actueel: 0
pla_ondertekeningen_historie: 3
","Ja",716,0.503,0.153,0.113128491620112,0.324022346368715,1.31284916201117,22.4022346368715,"real"
"9","IV: 
pla_ondertekeningen_actueel: 0
pla_ondertekeningen_historie: 4
","Ja",356,0.51,0.156,0.148876404494382,0.351123595505618,4.8876404494382,25.1123595505618,"real"
"10","IV: 
pla_ondertekeningen_actueel: 0
pla_ondertekeningen_historie: 5
","Ja",171,0.514,0.162,0.152046783625731,0.333333333333333,5.2046783625731,23.3333333333333,"real"
"11","IV: 
pla_ondertekeningen_actueel: 0
pla_ondertekeningen_historie: 6
","Ja",72,0.539,0.156,0.111111111111111,0.5,1.11111111111111,40,"real"
"12","IV: 
pla_ondertekeningen_actueel: 0
pla_ondertekeningen_historie: 7
","Ja",26,0.525,0.157,0.153846153846154,0.346153846153846,5.38461538461539,24.6153846153846,"real"
"13","IV: 
pla_ondertekeningen_actueel: 0
pla_ondertekeningen_historie: 8
","Ja",12,0.575,0.146,0.25,0.5,15,40,"real"
"14","IV: 
pla_ondertekeningen_actueel: 0
pla_ondertekeningen_historie: 9
","Ja",6,0.55,0.092,0,0.5,-10,40,"real"
"15","IV: 
pla_ondertekeningen_actueel: 1
pla_ondertekeningen_historie: 1
","Ja",993,0.48,0.152,0.108761329305136,0.23766364551863,0.876132930513594,13.766364551863,"real"
"16","IV: 
pla_ondertekeningen_actueel: 1
pla_ondertekeningen_historie: 10
","Ja",10,0.549,0.147,0.1,0.5,0,40,"real"
"17","IV: 
pla_ondertekeningen_actueel: 1
pla_ondertekeningen_historie: 11
","Ja",7,0.546,0.127,0,0.285714285714286,-10,18.5714285714286,"real"
"18","IV: 
pla_ondertekeningen_actueel: 1
pla_ondertekeningen_historie: 12
","Ja",1,0.6,NA,0,1,-10,90,"real"
"19","IV: 
pla_ondertekeningen_actueel: 1
pla_ondertekeningen_historie: 13
","Ja",1,0.648,NA,0,1,-10,90,"real"
"20","IV: 
pla_ondertekeningen_actueel: 1
pla_ondertekeningen_historie: 2
","Ja",1696,0.464,0.148,0.076061320754717,0.207547169811321,-2.3938679245283,10.7547169811321,"real"
"21","IV: 
pla_ondertekeningen_actueel: 1
pla_ondertekeningen_historie: 3
","Ja",1496,0.455,0.149,0.0614973262032086,0.202540106951872,-3.85026737967914,10.2540106951872,"real"
"22","IV: 
pla_ondertekeningen_actueel: 1
pla_ondertekeningen_historie: 4
","Ja",1079,0.438,0.151,0.0407784986098239,0.172381835032437,-5.92215013901761,7.23818350324374,"real"
"23","IV: 
pla_ondertekeningen_actueel: 1
pla_ondertekeningen_historie: 5
","Ja",569,0.445,0.149,0.0650263620386643,0.16871704745167,-3.49736379613357,6.87170474516696,"real"
"24","IV: 
pla_ondertekeningen_actueel: 1
pla_ondertekeningen_historie: 6
","Ja",300,0.441,0.159,0.0633333333333333,0.183333333333333,-3.66666666666667,8.33333333333333,"real"
"25","IV: 
pla_ondertekeningen_actueel: 1
pla_ondertekeningen_historie: 7
","Ja",117,0.448,0.155,0.0769230769230769,0.162393162393162,-2.30769230769231,6.23931623931624,"real"
"26","IV: 
pla_ondertekeningen_actueel: 1
pla_ondertekeningen_historie: 8
","Ja",54,0.475,0.154,0.0740740740740741,0.314814814814815,-2.59259259259259,21.4814814814815,"real"
"27","IV: 
pla_ondertekeningen_actueel: 1
pla_ondertekeningen_historie: 9
","Ja",35,0.514,0.166,0.142857142857143,0.314285714285714,4.28571428571428,21.4285714285714,"real"
"28","IV: 
pla_ondertekeningen_actueel: 2
pla_ondertekeningen_historie: 2
","Ja",4,0.766,0.034,1,1,90,90,"real"
"29","IV: 
pla_ondertekeningen_actueel: 2
pla_ondertekeningen_historie: 3
","Ja",8,0.501,0.145,0.125,0.25,2.5,15,"real"
"30","IV: 
pla_ondertekeningen_actueel: 2
pla_ondertekeningen_historie: 4
","Ja",7,0.512,0.09,0,0.285714285714286,-10,18.5714285714286,"real"
"31","IV: 
pla_ondertekeningen_actueel: 2
pla_ondertekeningen_historie: 5
","Ja",6,0.575,0.166,0.166666666666667,0.5,6.66666666666667,40,"real"
"32","IV: 
pla_ondertekeningen_actueel: 2
pla_ondertekeningen_historie: 7
","Ja",2,0.314,0.13,0,0,-10,-10,"real"
"33","IV: 
pla_ondertekeningen_actueel: 2
pla_ondertekeningen_historie: 8
","Ja",2,0.596,0.026,0,0.5,-10,40,"real"
"34","IV: 
pla_ondertekeningen_actueel: 2
pla_ondertekeningen_historie: 9
","Ja",1,0.776,NA,1,1,90,90,"real"
"35","IV: 
pla_ondertekeningen_actueel: 3
pla_ondertekeningen_historie: 3
","Ja",1,0.371,NA,0,0,-10,-10,"real"
"36","IV: 
pla_ondertekeningen_actueel: 3
pla_ondertekeningen_historie: 4
","Ja",1,0.409,NA,0,0,-10,-10,"real"
"37","IV: 
pla_ondertekeningen_actueel: 0
pla_ondertekeningen_historie: 0
","Ja",12645,0.506,0.147,0.110003954132068,0.304863582443654,1.0003954132068,20.4863582443654,"real_conditional"
