"","decile","IV","n","perc","data_type"
"1",1,"IV: 
relatie_kind_leeftijd_verschil_ouder_eerste_kind: 0
",901,11.0200587084149,"real"
"2",1,"IV: 
relatie_kind_leeftijd_verschil_ouder_eerste_kind: 17
",3,4.28571428571429,"real"
"3",1,"IV: 
relatie_kind_leeftijd_verschil_ouder_eerste_kind: 18
",5,4.16666666666667,"real"
"4",1,"IV: 
relatie_kind_leeftijd_verschil_ouder_eerste_kind: 19
",4,2.11640211640212,"real"
"5",1,"IV: 
relatie_kind_leeftijd_verschil_ouder_eerste_kind: 20
",5,2.42718446601942,"real"
"6",1,"IV: 
relatie_kind_leeftijd_verschil_ouder_eerste_kind: 22
",12,4.66926070038911,"real"
"7",1,"IV: 
relatie_kind_leeftijd_verschil_ouder_eerste_kind: 25
",8,3.04182509505703,"real"
"8",1,"IV: 
relatie_kind_leeftijd_verschil_ouder_eerste_kind: 30
",25,10.9649122807018,"real"
"9",1,"IV: 
relatie_kind_leeftijd_verschil_ouder_eerste_kind: 35
",9,7.25806451612903,"real"
"10",1,"IV: 
relatie_kind_leeftijd_verschil_ouder_eerste_kind: 40
",2,3.57142857142857,"real"
"11",1,"IV: 
relatie_kind_leeftijd_verschil_ouder_eerste_kind: 45
",1,10,"real"
"12",2,"IV: 
relatie_kind_leeftijd_verschil_ouder_eerste_kind: 0
",906,11.0812133072407,"real"
"13",2,"IV: 
relatie_kind_leeftijd_verschil_ouder_eerste_kind: 16
",2,5,"real"
"14",2,"IV: 
relatie_kind_leeftijd_verschil_ouder_eerste_kind: 17
",1,1.42857142857143,"real"
"15",2,"IV: 
relatie_kind_leeftijd_verschil_ouder_eerste_kind: 18
",5,4.16666666666667,"real"
"16",2,"IV: 
relatie_kind_leeftijd_verschil_ouder_eerste_kind: 19
",4,2.11640211640212,"real"
"17",2,"IV: 
relatie_kind_leeftijd_verschil_ouder_eerste_kind: 20
",4,1.94174757281553,"real"
"18",2,"IV: 
relatie_kind_leeftijd_verschil_ouder_eerste_kind: 22
",8,3.11284046692607,"real"
"19",2,"IV: 
relatie_kind_leeftijd_verschil_ouder_eerste_kind: 25
",14,5.32319391634981,"real"
"20",2,"IV: 
relatie_kind_leeftijd_verschil_ouder_eerste_kind: 30
",15,6.57894736842105,"real"
"21",2,"IV: 
relatie_kind_leeftijd_verschil_ouder_eerste_kind: 35
",15,12.0967741935484,"real"
"22",2,"IV: 
relatie_kind_leeftijd_verschil_ouder_eerste_kind: 40
",1,1.78571428571429,"real"
"23",3,"IV: 
relatie_kind_leeftijd_verschil_ouder_eerste_kind: 0
",888,10.8610567514677,"real"
"24",3,"IV: 
relatie_kind_leeftijd_verschil_ouder_eerste_kind: 15
",1,9.09090909090909,"real"
"25",3,"IV: 
relatie_kind_leeftijd_verschil_ouder_eerste_kind: 16
",3,7.5,"real"
"26",3,"IV: 
relatie_kind_leeftijd_verschil_ouder_eerste_kind: 17
",3,4.28571428571429,"real"
"27",3,"IV: 
relatie_kind_leeftijd_verschil_ouder_eerste_kind: 18
",4,3.33333333333333,"real"
"28",3,"IV: 
relatie_kind_leeftijd_verschil_ouder_eerste_kind: 19
",10,5.29100529100529,"real"
"29",3,"IV: 
relatie_kind_leeftijd_verschil_ouder_eerste_kind: 20
",12,5.8252427184466,"real"
"30",3,"IV: 
relatie_kind_leeftijd_verschil_ouder_eerste_kind: 22
",12,4.66926070038911,"real"
"31",3,"IV: 
relatie_kind_leeftijd_verschil_ouder_eerste_kind: 25
",10,3.80228136882129,"real"
"32",3,"IV: 
relatie_kind_leeftijd_verschil_ouder_eerste_kind: 30
",19,8.33333333333333,"real"
"33",3,"IV: 
relatie_kind_leeftijd_verschil_ouder_eerste_kind: 35
",9,7.25806451612903,"real"
"34",3,"IV: 
relatie_kind_leeftijd_verschil_ouder_eerste_kind: 40
",2,3.57142857142857,"real"
"35",3,"IV: 
relatie_kind_leeftijd_verschil_ouder_eerste_kind: 45
",2,20,"real"
"36",4,"IV: 
relatie_kind_leeftijd_verschil_ouder_eerste_kind: 0
",855,10.4574363992172,"real"
"37",4,"IV: 
relatie_kind_leeftijd_verschil_ouder_eerste_kind: 16
",4,10,"real"
"38",4,"IV: 
relatie_kind_leeftijd_verschil_ouder_eerste_kind: 17
",4,5.71428571428571,"real"
"39",4,"IV: 
relatie_kind_leeftijd_verschil_ouder_eerste_kind: 18
",8,6.66666666666667,"real"
"40",4,"IV: 
relatie_kind_leeftijd_verschil_ouder_eerste_kind: 19
",8,4.23280423280423,"real"
"41",4,"IV: 
relatie_kind_leeftijd_verschil_ouder_eerste_kind: 20
",9,4.36893203883495,"real"
"42",4,"IV: 
relatie_kind_leeftijd_verschil_ouder_eerste_kind: 22
",21,8.17120622568093,"real"
"43",4,"IV: 
relatie_kind_leeftijd_verschil_ouder_eerste_kind: 25
",23,8.74524714828897,"real"
"44",4,"IV: 
relatie_kind_leeftijd_verschil_ouder_eerste_kind: 30
",18,7.89473684210526,"real"
"45",4,"IV: 
relatie_kind_leeftijd_verschil_ouder_eerste_kind: 35
",12,9.67741935483871,"real"
"46",4,"IV: 
relatie_kind_leeftijd_verschil_ouder_eerste_kind: 40
",10,17.8571428571429,"real"
"47",4,"IV: 
relatie_kind_leeftijd_verschil_ouder_eerste_kind: 45
",3,30,"real"
"48",5,"IV: 
relatie_kind_leeftijd_verschil_ouder_eerste_kind: 0
",839,10.2617416829746,"real"
"49",5,"IV: 
relatie_kind_leeftijd_verschil_ouder_eerste_kind: 16
",1,2.5,"real"
