"","IV","variable","n","mean","sd","share_above_td_threshold","share_above_rw_threshold","perc_misrep_td_threshold","perc_misrep_rw_threshold","data_type"
"1","IV: 
relatie_kind_leeftijd_verschil_ouder_eerste_kind: 0
","Ja",8176,0.468,0.154,0.0843933463796478,0.238013698630137,-1.56066536203523,13.8013698630137,"real"
"2","IV: 
relatie_kind_leeftijd_verschil_ouder_eerste_kind: 15
","Ja",11,0.623,0.118,0.363636363636364,0.636363636363636,26.3636363636364,53.6363636363636,"real"
"3","IV: 
relatie_kind_leeftijd_verschil_ouder_eerste_kind: 16
","Ja",40,0.565,0.142,0.15,0.475,5,37.5,"real"
"4","IV: 
relatie_kind_leeftijd_verschil_ouder_eerste_kind: 17
","Ja",70,0.587,0.144,0.242857142857143,0.5,14.2857142857143,40,"real"
"5","IV: 
relatie_kind_leeftijd_verschil_ouder_eerste_kind: 18
","Ja",120,0.566,0.148,0.2,0.45,10,35,"real"
"6","IV: 
relatie_kind_leeftijd_verschil_ouder_eerste_kind: 19
","Ja",189,0.573,0.126,0.17989417989418,0.455026455026455,7.98941798941799,35.5026455026455,"real"
"7","IV: 
relatie_kind_leeftijd_verschil_ouder_eerste_kind: 20
","Ja",206,0.571,0.134,0.184466019417476,0.432038834951456,8.44660194174757,33.2038834951456,"real"
"8","IV: 
relatie_kind_leeftijd_verschil_ouder_eerste_kind: 22
","Ja",257,0.546,0.14,0.143968871595331,0.385214007782101,4.39688715953307,28.5214007782101,"real"
"9","IV: 
relatie_kind_leeftijd_verschil_ouder_eerste_kind: 25
","Ja",263,0.547,0.139,0.14828897338403,0.418250950570342,4.82889733840304,31.8250950570342,"real"
"10","IV: 
relatie_kind_leeftijd_verschil_ouder_eerste_kind: 30
","Ja",228,0.494,0.153,0.12719298245614,0.280701754385965,2.71929824561404,18.0701754385965,"real"
"11","IV: 
relatie_kind_leeftijd_verschil_ouder_eerste_kind: 35
","Ja",124,0.473,0.133,0.032258064516129,0.209677419354839,-6.7741935483871,10.9677419354839,"real"
"12","IV: 
relatie_kind_leeftijd_verschil_ouder_eerste_kind: 40
","Ja",56,0.529,0.128,0.107142857142857,0.357142857142857,0.714285714285713,25.7142857142857,"real"
"13","IV: 
relatie_kind_leeftijd_verschil_ouder_eerste_kind: 45
","Ja",10,0.467,0.148,0.1,0.2,0,10,"real"
"14","IV: 
relatie_kind_leeftijd_verschil_ouder_eerste_kind: 0
","Ja",12645,0.483,0.152,0.0908659549228944,0.264926848556742,-0.913404507710558,16.4926848556742,"real_conditional"
"15","IV: 
relatie_kind_leeftijd_verschil_ouder_eerste_kind: 14
","Ja",12645,0.493,0.152,0.101700276789245,0.285013839462238,0.170027678924475,18.5013839462238,"real_conditional"
"16","IV: 
relatie_kind_leeftijd_verschil_ouder_eerste_kind: 15
","Ja",12645,0.495,0.151,0.104626334519573,0.290233293792013,0.462633451957295,19.0233293792013,"real_conditional"
"17","IV: 
relatie_kind_leeftijd_verschil_ouder_eerste_kind: 16
","Ja",12645,0.497,0.151,0.105575326215896,0.293159351522341,0.557532621589561,19.3159351522341,"real_conditional"
"18","IV: 
relatie_kind_leeftijd_verschil_ouder_eerste_kind: 17
","Ja",12645,0.498,0.151,0.1071569790431,0.296243574535389,0.715697904310003,19.6243574535389,"real_conditional"
"19","IV: 
relatie_kind_leeftijd_verschil_ouder_eerste_kind: 18
","Ja",12645,0.499,0.151,0.108738631870304,0.299090549624357,0.873863187030446,19.9090549624357,"real_conditional"
