"","IV","variable","n","mean","sd","share_above_td_threshold","share_above_rw_threshold","perc_misrep_td_threshold","perc_misrep_rw_threshold","data_type"
"1","IV: 
relatie_kind_tiener: 0
","Ja",11107,0.48,0.154,0.0927343116953273,0.263167371927613,-0.726568830467274,16.3167371927613,"real"
"2","IV: 
relatie_kind_tiener: 1
","Ja",1122,0.556,0.133,0.164884135472371,0.420677361853832,6.48841354723708,32.0677361853832,"real"
"3","IV: 
relatie_kind_tiener: 2
","Ja",344,0.551,0.121,0.116279069767442,0.398255813953488,1.62790697674419,29.8255813953488,"real"
"4","IV: 
relatie_kind_tiener: 3
","Ja",49,0.579,0.106,0.122448979591837,0.489795918367347,2.24489795918367,38.9795918367347,"real"
"5","IV: 
relatie_kind_tiener: 4
","Ja",23,0.565,0.137,0.173913043478261,0.434782608695652,7.39130434782609,33.4782608695652,"real"
"6","IV: 
relatie_kind_tiener: 0
","Ja",12645,0.489,0.153,0.0997232107552392,0.280901542111507,-0.0276789244760794,18.0901542111507,"real_conditional"
"7","IV: 
relatie_kind_tiener: 1
","Ja",12645,0.492,0.153,0.102016607354686,0.286200079082641,0.201660735468563,18.6200079082641,"real_conditional"
"8","IV: 
relatie_kind_tiener: 2
","Ja",12645,0.491,0.152,0.100197706603401,0.284776591538157,0.0197706603400558,18.4776591538157,"real_conditional"
"9","IV: 
relatie_kind_tiener: 3
","Ja",12645,0.491,0.152,0.100197706603401,0.284776591538157,0.0197706603400558,18.4776591538157,"real_conditional"
"10","IV: 
relatie_kind_tiener: 4
","Ja",12645,0.491,0.152,0.100197706603401,0.284776591538157,0.0197706603400558,18.4776591538157,"real_conditional"
"11","IV: 
relatie_kind_tiener: 0
","Ja",8424,0.605,0.086,0.0878442545109212,0.612298195631529,-1.21557454890788,51.2298195631529,"synth"
"12","IV: 
relatie_kind_tiener: 1
","Ja",4165,0.625,0.082,0.125090036014406,0.6984393757503,2.50900360144058,59.84393757503,"synth"
"13","IV: 
relatie_kind_tiener: 2
","Ja",56,0.633,0.075,0.0714285714285714,0.75,-2.85714285714286,65,"synth"
"14","IV: 
relatie_kind_tiener: 0
","Ja",12508,0.611,0.085,0.0971378317876559,0.636712503997442,-0.28621682123441,53.6712503997442,"synth_conditional"
"15","IV: 
relatie_kind_tiener: 1
","Ja",12508,0.614,0.085,0.104093380236649,0.651662935721138,0.409338023664854,55.1662935721138,"synth_conditional"
"16","IV: 
relatie_kind_tiener: 2
","Ja",12508,0.612,0.085,0.095458906299968,0.641269587464023,-0.454109370003199,54.1269587464023,"synth_conditional"
"17","IV: 
relatie_kind_tiener: 3
","Ja",12508,0.612,0.085,0.095458906299968,0.641269587464023,-0.454109370003199,54.1269587464023,"synth_conditional"
"18","IV: 
relatie_kind_tiener: 4
","Ja",12508,0.612,0.085,0.095458906299968,0.641269587464023,-0.454109370003199,54.1269587464023,"synth_conditional"
