"","decile","IV","n","perc","data_type"
"1",1,"IV: 
relatie_kind_volwassen: 0
",1093,9.52920662598082,"real"
"2",1,"IV: 
relatie_kind_volwassen: 1
",100,13.4408602150538,"real"
"3",1,"IV: 
relatie_kind_volwassen: 2
",56,18.7290969899666,"real"
"4",1,"IV: 
relatie_kind_volwassen: 3
",12,12.9032258064516,"real"
"5",1,"IV: 
relatie_kind_volwassen: 4
",4,13.7931034482759,"real"
"6",2,"IV: 
relatie_kind_volwassen: 0
",1109,9.66870095902354,"real"
"7",2,"IV: 
relatie_kind_volwassen: 1
",103,13.8440860215054,"real"
"8",2,"IV: 
relatie_kind_volwassen: 2
",32,10.7023411371237,"real"
"9",2,"IV: 
relatie_kind_volwassen: 3
",16,17.2043010752688,"real"
"10",2,"IV: 
relatie_kind_volwassen: 4
",5,17.2413793103448,"real"
"11",3,"IV: 
relatie_kind_volwassen: 0
",1143,9.96512641673932,"real"
"12",3,"IV: 
relatie_kind_volwassen: 1
",81,10.8870967741935,"real"
"13",3,"IV: 
relatie_kind_volwassen: 2
",28,9.36454849498328,"real"
"14",3,"IV: 
relatie_kind_volwassen: 3
",9,9.67741935483871,"real"
"15",3,"IV: 
relatie_kind_volwassen: 4
",2,6.89655172413793,"real"
"16",3,"IV: 
relatie_kind_volwassen: 5
",2,20,"real"
"17",4,"IV: 
relatie_kind_volwassen: 0
",1170,10.2005231037489,"real"
"18",4,"IV: 
relatie_kind_volwassen: 1
",64,8.60215053763441,"real"
"19",4,"IV: 
relatie_kind_volwassen: 2
",18,6.02006688963211,"real"
"20",4,"IV: 
relatie_kind_volwassen: 3
",11,11.8279569892473,"real"
"21",4,"IV: 
relatie_kind_volwassen: 4
",1,3.44827586206897,"real"
"22",4,"IV: 
relatie_kind_volwassen: 5
",1,10,"real"
"23",5,"IV: 
relatie_kind_volwassen: 0
",1157,10.0871839581517,"real"
"24",5,"IV: 
relatie_kind_volwassen: 1
",72,9.67741935483871,"real"
"25",5,"IV: 
relatie_kind_volwassen: 2
",27,9.03010033444816,"real"
"26",5,"IV: 
relatie_kind_volwassen: 3
",7,7.52688172043011,"real"
"27",5,"IV: 
relatie_kind_volwassen: 4
",2,6.89655172413793,"real"
"28",6,"IV: 
relatie_kind_volwassen: 0
",1137,9.9128160418483,"real"
"29",6,"IV: 
relatie_kind_volwassen: 1
",60,8.06451612903226,"real"
"30",6,"IV: 
relatie_kind_volwassen: 2
",47,15.7190635451505,"real"
"31",6,"IV: 
relatie_kind_volwassen: 3
",10,10.752688172043,"real"
"32",6,"IV: 
relatie_kind_volwassen: 4
",8,27.5862068965517,"real"
"33",6,"IV: 
relatie_kind_volwassen: 5
",2,20,"real"
"34",7,"IV: 
relatie_kind_volwassen: 0
",1147,10,"real"
"35",7,"IV: 
relatie_kind_volwassen: 1
",72,9.67741935483871,"real"
"36",7,"IV: 
relatie_kind_volwassen: 2
",28,9.36454849498328,"real"
"37",7,"IV: 
relatie_kind_volwassen: 3
",11,11.8279569892473,"real"
"38",7,"IV: 
relatie_kind_volwassen: 4
",3,10.3448275862069,"real"
