"","IV","variable","n","mean","sd","share_above_td_threshold","share_above_rw_threshold","perc_misrep_td_threshold","perc_misrep_rw_threshold","data_type"
"1","IV: 
relatie_kind_volwassen: 0
","Ja",11470,0.493,0.154,0.105405405405405,0.289276373147341,0.540540540540539,18.9276373147341,"real"
"2","IV: 
relatie_kind_volwassen: 1
","Ja",744,0.461,0.149,0.0577956989247312,0.233870967741935,-4.22043010752688,13.3870967741935,"real"
"3","IV: 
relatie_kind_volwassen: 2
","Ja",299,0.447,0.146,0.0301003344481605,0.180602006688963,-6.98996655518395,8.06020066889632,"real"
"4","IV: 
relatie_kind_volwassen: 3
","Ja",93,0.447,0.142,0.043010752688172,0.150537634408602,-5.6989247311828,5.05376344086022,"real"
"5","IV: 
relatie_kind_volwassen: 4
","Ja",29,0.453,0.14,0,0.137931034482759,-10,3.79310344827586,"real"
"6","IV: 
relatie_kind_volwassen: 5
","Ja",10,0.508,0.103,0,0.2,-10,10,"real"
"7","IV: 
relatie_kind_volwassen: 0
","Ja",12645,0.489,0.153,0.10011862396204,0.28208778173191,0.0118623962040335,18.208778173191,"real_conditional"
"8","IV: 
relatie_kind_volwassen: 1
","Ja",12645,0.489,0.153,0.10011862396204,0.28208778173191,0.0118623962040335,18.208778173191,"real_conditional"
"9","IV: 
relatie_kind_volwassen: 2
","Ja",12645,0.488,0.153,0.0975879794385132,0.277421905891657,-0.241202056148676,17.7421905891657,"real_conditional"
"10","IV: 
relatie_kind_volwassen: 3
","Ja",12645,0.488,0.153,0.0975879794385132,0.277421905891657,-0.241202056148676,17.7421905891657,"real_conditional"
"11","IV: 
relatie_kind_volwassen: 4
","Ja",12645,0.488,0.153,0.0975879794385132,0.277421905891657,-0.241202056148676,17.7421905891657,"real_conditional"
"12","IV: 
relatie_kind_volwassen: 5
","Ja",12645,0.488,0.153,0.0975879794385132,0.277421905891657,-0.241202056148676,17.7421905891657,"real_conditional"
"13","IV: 
relatie_kind_volwassen: 0
","Ja",7866,0.613,0.085,0.106280193236715,0.644419018560895,0.628019323671497,54.4419018560895,"synth"
"14","IV: 
relatie_kind_volwassen: 1
","Ja",4713,0.609,0.085,0.0897517504774029,0.635688521111818,-1.02482495225971,53.5688521111818,"synth"
"15","IV: 
relatie_kind_volwassen: 2
","Ja",66,0.612,0.074,0.0909090909090909,0.666666666666667,-0.909090909090909,56.6666666666667,"synth"
"16","IV: 
relatie_kind_volwassen: 0
","Ja",12508,0.612,0.085,0.0997761432683083,0.641109689798529,-0.0223856731691729,54.1109689798529,"synth_conditional"
"17","IV: 
relatie_kind_volwassen: 1
","Ja",12508,0.612,0.085,0.0997761432683083,0.641109689798529,-0.0223856731691729,54.1109689798529,"synth_conditional"
"18","IV: 
relatie_kind_volwassen: 2
","Ja",12508,0.608,0.085,0.0895426926766869,0.625119923249121,-1.04573073233131,52.5119923249121,"synth_conditional"
"19","IV: 
relatie_kind_volwassen: 3
","Ja",12508,0.608,0.085,0.0895426926766869,0.625119923249121,-1.04573073233131,52.5119923249121,"synth_conditional"
"20","IV: 
relatie_kind_volwassen: 4
","Ja",12508,0.608,0.085,0.0895426926766869,0.625119923249121,-1.04573073233131,52.5119923249121,"synth_conditional"
"21","IV: 
relatie_kind_volwassen: 5
","Ja",12508,0.608,0.085,0.0895426926766869,0.625119923249121,-1.04573073233131,52.5119923249121,"synth_conditional"
