"","decile","IV","n","perc","data_type"
"1",1,"IV: 
relatie_overig_actueel_vorm__ouders_verzorgers: 0
",1258,10.3958350549541,"real"
"2",1,"IV: 
relatie_overig_actueel_vorm__ouders_verzorgers: 1
",6,1.39211136890951,"real"
"3",1,"IV: 
relatie_overig_actueel_vorm__ouders_verzorgers: 2
",1,1.19047619047619,"real"
"4",2,"IV: 
relatie_overig_actueel_vorm__ouders_verzorgers: 0
",1235,10.2057681183373,"real"
"5",2,"IV: 
relatie_overig_actueel_vorm__ouders_verzorgers: 1
",26,6.03248259860789,"real"
"6",2,"IV: 
relatie_overig_actueel_vorm__ouders_verzorgers: 2
",3,3.57142857142857,"real"
"7",2,"IV: 
relatie_overig_actueel_vorm__ouders_verzorgers: 3
",1,7.14285714285714,"real"
"8",3,"IV: 
relatie_overig_actueel_vorm__ouders_verzorgers: 0
",1215,10.0404925212792,"real"
"9",3,"IV: 
relatie_overig_actueel_vorm__ouders_verzorgers: 1
",40,9.28074245939675,"real"
"10",3,"IV: 
relatie_overig_actueel_vorm__ouders_verzorgers: 2
",6,7.14285714285714,"real"
"11",3,"IV: 
relatie_overig_actueel_vorm__ouders_verzorgers: 3
",1,7.14285714285714,"real"
"12",3,"IV: 
relatie_overig_actueel_vorm__ouders_verzorgers: 4
",1,10,"real"
"13",3,"IV: 
relatie_overig_actueel_vorm__ouders_verzorgers: 5
",1,25,"real"
"14",3,"IV: 
relatie_overig_actueel_vorm__ouders_verzorgers: 6
",1,100,"real"
"15",4,"IV: 
relatie_overig_actueel_vorm__ouders_verzorgers: 0
",1207,9.97438228245599,"real"
"16",4,"IV: 
relatie_overig_actueel_vorm__ouders_verzorgers: 1
",50,11.6009280742459,"real"
"17",4,"IV: 
relatie_overig_actueel_vorm__ouders_verzorgers: 2
",6,7.14285714285714,"real"
"18",4,"IV: 
relatie_overig_actueel_vorm__ouders_verzorgers: 3
",1,7.14285714285714,"real"
"19",4,"IV: 
relatie_overig_actueel_vorm__ouders_verzorgers: 4
",1,10,"real"
"20",5,"IV: 
relatie_overig_actueel_vorm__ouders_verzorgers: 0
",1205,9.95785472275019,"real"
"21",5,"IV: 
relatie_overig_actueel_vorm__ouders_verzorgers: 1
",42,9.74477958236659,"real"
"22",5,"IV: 
relatie_overig_actueel_vorm__ouders_verzorgers: 2
",14,16.6666666666667,"real"
"23",5,"IV: 
relatie_overig_actueel_vorm__ouders_verzorgers: 3
",1,7.14285714285714,"real"
"24",5,"IV: 
relatie_overig_actueel_vorm__ouders_verzorgers: 4
",2,20,"real"
"25",5,"IV: 
relatie_overig_actueel_vorm__ouders_verzorgers: 5
",1,25,"real"
"26",6,"IV: 
relatie_overig_actueel_vorm__ouders_verzorgers: 0
",1200,9.91653582348566,"real"
"27",6,"IV: 
relatie_overig_actueel_vorm__ouders_verzorgers: 1
",49,11.368909512761,"real"
