"","decile","IV","n","perc","data_type"
"1",1,"IV: 
relatie_overig_historie_vorm__gemachtigde: 0
",1170,11.42578125,"real"
"2",1,"IV: 
relatie_overig_historie_vorm__gemachtigde: 1
",80,3.98009950248756,"real"
"3",1,"IV: 
relatie_overig_historie_vorm__gemachtigde: 2
",12,3.48837209302326,"real"
"4",1,"IV: 
relatie_overig_historie_vorm__gemachtigde: 3
",2,5.55555555555556,"real"
"5",1,"IV: 
relatie_overig_historie_vorm__gemachtigde: 4
",1,10,"real"
"6",2,"IV: 
relatie_overig_historie_vorm__gemachtigde: 0
",1061,10.361328125,"real"
"7",2,"IV: 
relatie_overig_historie_vorm__gemachtigde: 1
",173,8.60696517412935,"real"
"8",2,"IV: 
relatie_overig_historie_vorm__gemachtigde: 2
",27,7.84883720930233,"real"
"9",2,"IV: 
relatie_overig_historie_vorm__gemachtigde: 3
",4,11.1111111111111,"real"
"10",3,"IV: 
relatie_overig_historie_vorm__gemachtigde: 0
",995,9.716796875,"real"
"11",3,"IV: 
relatie_overig_historie_vorm__gemachtigde: 1
",227,11.2935323383085,"real"
"12",3,"IV: 
relatie_overig_historie_vorm__gemachtigde: 2
",37,10.7558139534884,"real"
"13",3,"IV: 
relatie_overig_historie_vorm__gemachtigde: 3
",2,5.55555555555556,"real"
"14",3,"IV: 
relatie_overig_historie_vorm__gemachtigde: 4
",2,20,"real"
"15",3,"IV: 
relatie_overig_historie_vorm__gemachtigde: 5
",1,25,"real"
"16",3,"IV: 
relatie_overig_historie_vorm__gemachtigde: 6
",1,100,"real"
"17",4,"IV: 
relatie_overig_historie_vorm__gemachtigde: 0
",1009,9.853515625,"real"
"18",4,"IV: 
relatie_overig_historie_vorm__gemachtigde: 1
",213,10.5970149253731,"real"
"19",4,"IV: 
relatie_overig_historie_vorm__gemachtigde: 2
",38,11.046511627907,"real"
"20",4,"IV: 
relatie_overig_historie_vorm__gemachtigde: 3
",3,8.33333333333333,"real"
"21",4,"IV: 
relatie_overig_historie_vorm__gemachtigde: 4
",1,10,"real"
"22",4,"IV: 
relatie_overig_historie_vorm__gemachtigde: 5
",1,25,"real"
"23",5,"IV: 
relatie_overig_historie_vorm__gemachtigde: 0
",989,9.658203125,"real"
"24",5,"IV: 
relatie_overig_historie_vorm__gemachtigde: 1
",216,10.7462686567164,"real"
"25",5,"IV: 
relatie_overig_historie_vorm__gemachtigde: 2
",51,14.8255813953488,"real"
"26",5,"IV: 
relatie_overig_historie_vorm__gemachtigde: 3
",7,19.4444444444444,"real"
"27",5,"IV: 
relatie_overig_historie_vorm__gemachtigde: 4
",1,10,"real"
"28",5,"IV: 
relatie_overig_historie_vorm__gemachtigde: 5
",1,25,"real"
"29",6,"IV: 
relatie_overig_historie_vorm__gemachtigde: 0
",1007,9.833984375,"real"
"30",6,"IV: 
relatie_overig_historie_vorm__gemachtigde: 1
",218,10.8457711442786,"real"
"31",6,"IV: 
relatie_overig_historie_vorm__gemachtigde: 2
",34,9.88372093023256,"real"
"32",6,"IV: 
relatie_overig_historie_vorm__gemachtigde: 3
",4,11.1111111111111,"real"
"33",6,"IV: 
relatie_overig_historie_vorm__gemachtigde: 4
",1,10,"real"
"34",7,"IV: 
relatie_overig_historie_vorm__gemachtigde: 0
",1005,9.814453125,"real"
"35",7,"IV: 
relatie_overig_historie_vorm__gemachtigde: 1
",218,10.8457711442786,"real"
"36",7,"IV: 
relatie_overig_historie_vorm__gemachtigde: 2
",36,10.4651162790698,"real"
"37",7,"IV: 
relatie_overig_historie_vorm__gemachtigde: 3
",5,13.8888888888889,"real"
"38",8,"IV: 
relatie_overig_historie_vorm__gemachtigde: 0
",1002,9.78515625,"real"
"39",8,"IV: 
relatie_overig_historie_vorm__gemachtigde: 1
",220,10.9452736318408,"real"
"40",8,"IV: 
relatie_overig_historie_vorm__gemachtigde: 2
",36,10.4651162790698,"real"
"41",8,"IV: 
relatie_overig_historie_vorm__gemachtigde: 3
",4,11.1111111111111,"real"
"42",8,"IV: 
relatie_overig_historie_vorm__gemachtigde: 4
",2,20,"real"
"43",9,"IV: 
relatie_overig_historie_vorm__gemachtigde: 0
",973,9.501953125,"real"
"44",9,"IV: 
relatie_overig_historie_vorm__gemachtigde: 1
",246,12.2388059701493,"real"
"45",9,"IV: 
relatie_overig_historie_vorm__gemachtigde: 2
",41,11.9186046511628,"real"
"46",9,"IV: 
relatie_overig_historie_vorm__gemachtigde: 3
",2,5.55555555555556,"real"
"47",9,"IV: 
relatie_overig_historie_vorm__gemachtigde: 4
",1,10,"real"
"48",9,"IV: 
relatie_overig_historie_vorm__gemachtigde: 5
",1,25,"real"
"49",10,"IV: 
relatie_overig_historie_vorm__gemachtigde: 0
",1029,10.048828125,"real"
"50",10,"IV: 
relatie_overig_historie_vorm__gemachtigde: 1
",199,9.90049751243781,"real"
"51",10,"IV: 
relatie_overig_historie_vorm__gemachtigde: 2
",32,9.30232558139535,"real"
"52",10,"IV: 
relatie_overig_historie_vorm__gemachtigde: 3
",3,8.33333333333333,"real"
"53",10,"IV: 
relatie_overig_historie_vorm__gemachtigde: 4
",1,10,"real"
"54",1,"IV: 
relatie_overig_historie_vorm__gemachtigde: 0
",1574,12.4476077500989,"real_conditional"
"55",1,"IV: 
relatie_overig_historie_vorm__gemachtigde: 1
",1233,9.7508896797153,"real_conditional"
