"","decile","IV","n","perc","data_type"
"1",1,"IV: 
relatie_overig_historie_vorm__onderhoudsplichtige: 0
",1090,11.2429087158329,"real"
"2",1,"IV: 
relatie_overig_historie_vorm__onderhoudsplichtige: 1
",150,6.07779578606159,"real"
"3",1,"IV: 
relatie_overig_historie_vorm__onderhoudsplichtige: 2
",22,5.56962025316456,"real"
"4",1,"IV: 
relatie_overig_historie_vorm__onderhoudsplichtige: 3
",3,4.41176470588235,"real"
"5",2,"IV: 
relatie_overig_historie_vorm__onderhoudsplichtige: 0
",1012,10.438370293966,"real"
"6",2,"IV: 
relatie_overig_historie_vorm__onderhoudsplichtige: 1
",230,9.3192868719611,"real"
"7",2,"IV: 
relatie_overig_historie_vorm__onderhoudsplichtige: 2
",18,4.55696202531646,"real"
"8",2,"IV: 
relatie_overig_historie_vorm__onderhoudsplichtige: 3
",3,4.41176470588235,"real"
"9",2,"IV: 
relatie_overig_historie_vorm__onderhoudsplichtige: 4
",1,6.66666666666667,"real"
"10",2,"IV: 
relatie_overig_historie_vorm__onderhoudsplichtige: 5
",1,25,"real"
"11",3,"IV: 
relatie_overig_historie_vorm__onderhoudsplichtige: 0
",1010,10.4177411036617,"real"
"12",3,"IV: 
relatie_overig_historie_vorm__onderhoudsplichtige: 1
",225,9.11669367909238,"real"
"13",3,"IV: 
relatie_overig_historie_vorm__onderhoudsplichtige: 2
",24,6.07594936708861,"real"
"14",3,"IV: 
relatie_overig_historie_vorm__onderhoudsplichtige: 3
",5,7.35294117647059,"real"
"15",3,"IV: 
relatie_overig_historie_vorm__onderhoudsplichtige: 4
",1,6.66666666666667,"real"
"16",4,"IV: 
relatie_overig_historie_vorm__onderhoudsplichtige: 0
",973,10.0361010830325,"real"
"17",4,"IV: 
relatie_overig_historie_vorm__onderhoudsplichtige: 1
",249,10.0891410048622,"real"
"18",4,"IV: 
relatie_overig_historie_vorm__onderhoudsplichtige: 2
",36,9.11392405063291,"real"
"19",4,"IV: 
relatie_overig_historie_vorm__onderhoudsplichtige: 3
",6,8.82352941176471,"real"
"20",4,"IV: 
relatie_overig_historie_vorm__onderhoudsplichtige: 5
",1,25,"real"
"21",5,"IV: 
relatie_overig_historie_vorm__onderhoudsplichtige: 0
",977,10.0773594636411,"real"
"22",5,"IV: 
relatie_overig_historie_vorm__onderhoudsplichtige: 1
",245,9.92706645056726,"real"
"23",5,"IV: 
relatie_overig_historie_vorm__onderhoudsplichtige: 2
",37,9.36708860759494,"real"
"24",5,"IV: 
relatie_overig_historie_vorm__onderhoudsplichtige: 3
",4,5.88235294117647,"real"
"25",5,"IV: 
relatie_overig_historie_vorm__onderhoudsplichtige: 4
",1,6.66666666666667,"real"
"26",5,"IV: 
relatie_overig_historie_vorm__onderhoudsplichtige: 5
",1,25,"real"
"27",6,"IV: 
relatie_overig_historie_vorm__onderhoudsplichtige: 0
",959,9.89169675090253,"real"
"28",6,"IV: 
relatie_overig_historie_vorm__onderhoudsplichtige: 1
",250,10.129659643436,"real"
"29",6,"IV: 
relatie_overig_historie_vorm__onderhoudsplichtige: 2
",48,12.1518987341772,"real"
"30",6,"IV: 
relatie_overig_historie_vorm__onderhoudsplichtige: 3
",5,7.35294117647059,"real"
"31",6,"IV: 
relatie_overig_historie_vorm__onderhoudsplichtige: 4
",2,13.3333333333333,"real"
"32",7,"IV: 
relatie_overig_historie_vorm__onderhoudsplichtige: 0
",930,9.59257349149046,"real"
"33",7,"IV: 
relatie_overig_historie_vorm__onderhoudsplichtige: 1
",275,11.1426256077796,"real"
"34",7,"IV: 
relatie_overig_historie_vorm__onderhoudsplichtige: 2
",49,12.4050632911392,"real"
"35",7,"IV: 
relatie_overig_historie_vorm__onderhoudsplichtige: 3
",7,10.2941176470588,"real"
"36",7,"IV: 
relatie_overig_historie_vorm__onderhoudsplichtige: 4
",2,13.3333333333333,"real"
"37",7,"IV: 
relatie_overig_historie_vorm__onderhoudsplichtige: 5
",1,25,"real"
"38",8,"IV: 
relatie_overig_historie_vorm__onderhoudsplichtige: 0
",928,9.57194430118618,"real"
"39",8,"IV: 
relatie_overig_historie_vorm__onderhoudsplichtige: 1
",274,11.1021069692058,"real"
"40",8,"IV: 
relatie_overig_historie_vorm__onderhoudsplichtige: 2
",47,11.8987341772152,"real"
"41",8,"IV: 
relatie_overig_historie_vorm__onderhoudsplichtige: 3
",12,17.6470588235294,"real"
"42",8,"IV: 
relatie_overig_historie_vorm__onderhoudsplichtige: 4
",3,20,"real"
"43",9,"IV: 
relatie_overig_historie_vorm__onderhoudsplichtige: 0
",887,9.14904589994843,"real"
"44",9,"IV: 
relatie_overig_historie_vorm__onderhoudsplichtige: 1
",320,12.9659643435981,"real"
"45",9,"IV: 
relatie_overig_historie_vorm__onderhoudsplichtige: 2
",46,11.6455696202532,"real"
"46",9,"IV: 
relatie_overig_historie_vorm__onderhoudsplichtige: 3
",8,11.7647058823529,"real"
"47",9,"IV: 
relatie_overig_historie_vorm__onderhoudsplichtige: 4
",3,20,"real"
"48",10,"IV: 
relatie_overig_historie_vorm__onderhoudsplichtige: 0
",929,9.58225889633832,"real"
"49",10,"IV: 
relatie_overig_historie_vorm__onderhoudsplichtige: 1
",250,10.129659643436,"real"
"50",10,"IV: 
relatie_overig_historie_vorm__onderhoudsplichtige: 2
",68,17.2151898734177,"real"
"51",10,"IV: 
relatie_overig_historie_vorm__onderhoudsplichtige: 3
",15,22.0588235294118,"real"
"52",10,"IV: 
relatie_overig_historie_vorm__onderhoudsplichtige: 4
",2,13.3333333333333,"real"
"53",1,"IV: 
relatie_overig_historie_vorm__onderhoudsplichtige: 0
",1273,10.0672202451562,"real_conditional"
"54",1,"IV: 
relatie_overig_historie_vorm__onderhoudsplichtige: 1
",1275,10.0830367734282,"real_conditional"
