"","decile","IV","n","perc","data_type"
"1",1,"IV: 
relatie_partner_totaal_dagen_partner: 0
",1057,10.0037857278062,"real"
"2",2,"IV: 
relatie_partner_totaal_dagen_partner: 0
",1057,10.0037857278062,"real"
"3",3,"IV: 
relatie_partner_totaal_dagen_partner: 0
",1057,10.0037857278062,"real"
"4",4,"IV: 
relatie_partner_totaal_dagen_partner: 0
",1057,10.0037857278062,"real"
"5",5,"IV: 
relatie_partner_totaal_dagen_partner: 0
",1056,9.99432140829074,"real"
"6",5,"IV: 
relatie_partner_totaal_dagen_partner: 100
",1,50,"real"
"7",6,"IV: 
relatie_partner_totaal_dagen_partner: 0
",1057,10.0037857278062,"real"
"8",7,"IV: 
relatie_partner_totaal_dagen_partner: 0
",1057,10.0037857278062,"real"
"9",8,"IV: 
relatie_partner_totaal_dagen_partner: 0
",1057,10.0037857278062,"real"
"10",9,"IV: 
relatie_partner_totaal_dagen_partner: 0
",1056,9.99432140829074,"real"
"11",9,"IV: 
relatie_partner_totaal_dagen_partner: 1000
",1,100,"real"
"12",10,"IV: 
relatie_partner_totaal_dagen_partner: 0
",1055,9.98485708877532,"real"
"13",10,"IV: 
relatie_partner_totaal_dagen_partner: 100
",1,50,"real"
"14",1,"IV: 
relatie_partner_totaal_dagen_partner: 0
",1610,12.7323052589957,"real_conditional"
"15",1,"IV: 
relatie_partner_totaal_dagen_partner: 1
",1610,12.7323052589957,"real_conditional"
"16",1,"IV: 
relatie_partner_totaal_dagen_partner: 10
",1610,12.7323052589957,"real_conditional"
"17",1,"IV: 
relatie_partner_totaal_dagen_partner: 100
",1256,9.93277975484381,"real_conditional"
"18",1,"IV: 
relatie_partner_totaal_dagen_partner: 1000
",770,6.08936338473705,"real_conditional"
"19",1,"IV: 
relatie_partner_totaal_dagen_partner: 10000
",731,5.78094108343219,"real_conditional"
"20",2,"IV: 
relatie_partner_totaal_dagen_partner: 0
",1335,10.5575326215896,"real_conditional"
"21",2,"IV: 
relatie_partner_totaal_dagen_partner: 1
",1335,10.5575326215896,"real_conditional"
"22",2,"IV: 
relatie_partner_totaal_dagen_partner: 10
",1335,10.5575326215896,"real_conditional"
"23",2,"IV: 
relatie_partner_totaal_dagen_partner: 100
",1303,10.3044681692369,"real_conditional"
"24",2,"IV: 
relatie_partner_totaal_dagen_partner: 1000
",1138,8.9996045867932,"real_conditional"
"25",2,"IV: 
relatie_partner_totaal_dagen_partner: 10000
",1141,9.02332937920126,"real_conditional"
"26",3,"IV: 
relatie_partner_totaal_dagen_partner: 0
",1301,10.2886516409648,"real_conditional"
"27",3,"IV: 
relatie_partner_totaal_dagen_partner: 1
",1301,10.2886516409648,"real_conditional"
"28",3,"IV: 
relatie_partner_totaal_dagen_partner: 10
",1300,10.2807433768288,"real_conditional"
"29",3,"IV: 
relatie_partner_totaal_dagen_partner: 100
",1285,10.1621194147885,"real_conditional"
"30",3,"IV: 
relatie_partner_totaal_dagen_partner: 1000
",1203,9.51364175563464,"real_conditional"
"31",3,"IV: 
relatie_partner_totaal_dagen_partner: 10000
",1197,9.46619217081851,"real_conditional"
"32",4,"IV: 
relatie_partner_totaal_dagen_partner: 0
",1272,10.0593119810202,"real_conditional"
"33",4,"IV: 
relatie_partner_totaal_dagen_partner: 1
",1272,10.0593119810202,"real_conditional"
"34",4,"IV: 
relatie_partner_totaal_dagen_partner: 10
",1272,10.0593119810202,"real_conditional"
"35",4,"IV: 
relatie_partner_totaal_dagen_partner: 100
",1262,9.98022933965994,"real_conditional"
"36",4,"IV: 
relatie_partner_totaal_dagen_partner: 1000
",1248,9.86951364175563,"real_conditional"
"37",4,"IV: 
relatie_partner_totaal_dagen_partner: 10000
",1261,9.97232107552392,"real_conditional"
"38",5,"IV: 
relatie_partner_totaal_dagen_partner: 0
",1274,10.0751285092922,"real_conditional"
"39",5,"IV: 
relatie_partner_totaal_dagen_partner: 1
",1274,10.0751285092922,"real_conditional"
"40",5,"IV: 
relatie_partner_totaal_dagen_partner: 10
",1274,10.0751285092922,"real_conditional"
"41",5,"IV: 
relatie_partner_totaal_dagen_partner: 100
",1288,10.1858442071965,"real_conditional"
"42",5,"IV: 
relatie_partner_totaal_dagen_partner: 1000
",1240,9.80624752866746,"real_conditional"
"43",5,"IV: 
relatie_partner_totaal_dagen_partner: 10000
",1237,9.78252273625939,"real_conditional"
"44",6,"IV: 
relatie_partner_totaal_dagen_partner: 0
",1199,9.48200869909055,"real_conditional"
"45",6,"IV: 
relatie_partner_totaal_dagen_partner: 1
",1199,9.48200869909055,"real_conditional"
"46",6,"IV: 
relatie_partner_totaal_dagen_partner: 10
",1200,9.48991696322657,"real_conditional"
"47",6,"IV: 
relatie_partner_totaal_dagen_partner: 100
",1269,10.0355871886121,"real_conditional"
"48",6,"IV: 
relatie_partner_totaal_dagen_partner: 1000
",1357,10.731514432582,"real_conditional"
"49",6,"IV: 
relatie_partner_totaal_dagen_partner: 10000
",1363,10.7789640173982,"real_conditional"
