"","decile","IV","n","perc","data_type"
"1",1,"IV: 
typering_indicatie_geheime_gegevens: 0
typering_hist_ind: 0
typering_hist_aantal: 0
",516,8.79345603271984,"real"
"2",1,"IV: 
typering_indicatie_geheime_gegevens: 0
typering_hist_ind: 1
typering_hist_aantal: 1
",167,17.4686192468619,"real"
"3",2,"IV: 
typering_indicatie_geheime_gegevens: 0
typering_hist_ind: 0
typering_hist_aantal: 0
",574,9.78186775732788,"real"
"4",2,"IV: 
typering_indicatie_geheime_gegevens: 0
typering_hist_ind: 1
typering_hist_aantal: 1
",109,11.4016736401674,"real"
"5",3,"IV: 
typering_indicatie_geheime_gegevens: 0
typering_hist_ind: 0
typering_hist_aantal: 0
",607,10.3442399454669,"real"
"6",3,"IV: 
typering_indicatie_geheime_gegevens: 0
typering_hist_ind: 1
typering_hist_aantal: 1
",76,7.94979079497908,"real"
"7",4,"IV: 
typering_indicatie_geheime_gegevens: 0
typering_hist_ind: 0
typering_hist_aantal: 0
",600,10.2249488752556,"real"
"8",4,"IV: 
typering_indicatie_geheime_gegevens: 0
typering_hist_ind: 1
typering_hist_aantal: 1
",83,8.68200836820084,"real"
"9",5,"IV: 
typering_indicatie_geheime_gegevens: 0
typering_hist_ind: 0
typering_hist_aantal: 0
",610,10.3953646898432,"real"
"10",5,"IV: 
typering_indicatie_geheime_gegevens: 0
typering_hist_ind: 1
typering_hist_aantal: 1
",72,7.53138075313807,"real"
"11",6,"IV: 
typering_indicatie_geheime_gegevens: 0
typering_hist_ind: 0
typering_hist_aantal: 0
",584,9.95228357191547,"real"
"12",6,"IV: 
typering_indicatie_geheime_gegevens: 0
typering_hist_ind: 1
typering_hist_aantal: 1
",98,10.2510460251046,"real"
"13",7,"IV: 
typering_indicatie_geheime_gegevens: 0
typering_hist_ind: 0
typering_hist_aantal: 0
",578,9.85003408316292,"real"
"14",7,"IV: 
typering_indicatie_geheime_gegevens: 0
typering_hist_ind: 1
typering_hist_aantal: 1
",104,10.8786610878661,"real"
"15",8,"IV: 
typering_indicatie_geheime_gegevens: 0
typering_hist_ind: 0
typering_hist_aantal: 0
",582,9.91820040899795,"real"
"16",8,"IV: 
typering_indicatie_geheime_gegevens: 0
typering_hist_ind: 1
typering_hist_aantal: 1
",100,10.4602510460251,"real"
"17",9,"IV: 
typering_indicatie_geheime_gegevens: 0
typering_hist_ind: 0
typering_hist_aantal: 0
",611,10.412406271302,"real"
"18",9,"IV: 
typering_indicatie_geheime_gegevens: 0
typering_hist_ind: 1
typering_hist_aantal: 1
",71,7.42677824267782,"real"
"19",10,"IV: 
typering_indicatie_geheime_gegevens: 0
typering_hist_ind: 0
typering_hist_aantal: 0
",606,10.3271983640082,"real"
"20",10,"IV: 
typering_indicatie_geheime_gegevens: 0
typering_hist_ind: 1
typering_hist_aantal: 1
",76,7.94979079497908,"real"
"21",1,"IV: 
typering_indicatie_geheime_gegevens: 0
typering_hist_ind: 0
typering_hist_aantal: 0
",1267,10.0197706603401,"real_conditional"
"22",1,"IV: 
typering_indicatie_geheime_gegevens: 0
typering_hist_ind: 1
typering_hist_aantal: 1
",1266,10.011862396204,"real_conditional"
"23",1,"IV: 
typering_indicatie_geheime_gegevens: 1
typering_hist_ind: 1
typering_hist_aantal: 1
",1261,9.97232107552392,"real_conditional"
"24",2,"IV: 
typering_indicatie_geheime_gegevens: 0
typering_hist_ind: 0
typering_hist_aantal: 0
",1264,9.99604586793199,"real_conditional"
"25",2,"IV: 
typering_indicatie_geheime_gegevens: 0
typering_hist_ind: 1
typering_hist_aantal: 1
",1265,10.003954132068,"real_conditional"
"26",2,"IV: 
typering_indicatie_geheime_gegevens: 1
typering_hist_ind: 1
typering_hist_aantal: 1
",1265,10.003954132068,"real_conditional"
"27",3,"IV: 
typering_indicatie_geheime_gegevens: 0
typering_hist_ind: 0
typering_hist_aantal: 0
",1266,10.011862396204,"real_conditional"
"28",3,"IV: 
typering_indicatie_geheime_gegevens: 0
typering_hist_ind: 1
typering_hist_aantal: 1
",1265,10.003954132068,"real_conditional"
"29",3,"IV: 
typering_indicatie_geheime_gegevens: 1
typering_hist_ind: 1
typering_hist_aantal: 1
",1263,9.98813760379597,"real_conditional"
"30",4,"IV: 
typering_indicatie_geheime_gegevens: 0
typering_hist_ind: 0
typering_hist_aantal: 0
",1265,10.003954132068,"real_conditional"
"31",4,"IV: 
typering_indicatie_geheime_gegevens: 0
typering_hist_ind: 1
typering_hist_aantal: 1
",1265,10.003954132068,"real_conditional"
"32",4,"IV: 
typering_indicatie_geheime_gegevens: 1
typering_hist_ind: 1
typering_hist_aantal: 1
",1264,9.99604586793199,"real_conditional"
"33",5,"IV: 
typering_indicatie_geheime_gegevens: 0
typering_hist_ind: 0
typering_hist_aantal: 0
",1265,10.003954132068,"real_conditional"
"34",5,"IV: 
typering_indicatie_geheime_gegevens: 0
typering_hist_ind: 1
typering_hist_aantal: 1
",1266,10.011862396204,"real_conditional"
"35",5,"IV: 
typering_indicatie_geheime_gegevens: 1
typering_hist_ind: 1
typering_hist_aantal: 1
",1263,9.98813760379597,"real_conditional"
"36",6,"IV: 
typering_indicatie_geheime_gegevens: 0
typering_hist_ind: 0
typering_hist_aantal: 0
",1263,9.98813760379597,"real_conditional"
"37",6,"IV: 
typering_indicatie_geheime_gegevens: 0
typering_hist_ind: 1
typering_hist_aantal: 1
",1263,9.98813760379597,"real_conditional"
"38",6,"IV: 
typering_indicatie_geheime_gegevens: 1
typering_hist_ind: 1
typering_hist_aantal: 1
",1267,10.0197706603401,"real_conditional"
"39",7,"IV: 
typering_indicatie_geheime_gegevens: 0
typering_hist_ind: 0
typering_hist_aantal: 0
",1264,9.99604586793199,"real_conditional"
"40",7,"IV: 
typering_indicatie_geheime_gegevens: 0
typering_hist_ind: 1
typering_hist_aantal: 1
",1263,9.98813760379597,"real_conditional"
"41",7,"IV: 
typering_indicatie_geheime_gegevens: 1
typering_hist_ind: 1
typering_hist_aantal: 1
",1266,10.011862396204,"real_conditional"
"42",8,"IV: 
typering_indicatie_geheime_gegevens: 0
typering_hist_ind: 0
typering_hist_aantal: 0
",1264,9.99604586793199,"real_conditional"
"43",8,"IV: 
typering_indicatie_geheime_gegevens: 0
typering_hist_ind: 1
typering_hist_aantal: 1
",1264,9.99604586793199,"real_conditional"
"44",8,"IV: 
typering_indicatie_geheime_gegevens: 1
typering_hist_ind: 1
typering_hist_aantal: 1
",1265,10.003954132068,"real_conditional"
"45",9,"IV: 
typering_indicatie_geheime_gegevens: 0
typering_hist_ind: 0
typering_hist_aantal: 0
",1264,9.99604586793199,"real_conditional"
"46",9,"IV: 
typering_indicatie_geheime_gegevens: 0
typering_hist_ind: 1
typering_hist_aantal: 1
",1264,9.99604586793199,"real_conditional"
"47",9,"IV: 
typering_indicatie_geheime_gegevens: 1
typering_hist_ind: 1
typering_hist_aantal: 1
",1265,10.003954132068,"real_conditional"
"48",10,"IV: 
typering_indicatie_geheime_gegevens: 0
typering_hist_ind: 0
typering_hist_aantal: 0
",1263,9.98813760379597,"real_conditional"
"49",10,"IV: 
typering_indicatie_geheime_gegevens: 0
typering_hist_ind: 1
typering_hist_aantal: 1
",1264,9.99604586793199,"real_conditional"
"50",10,"IV: 
typering_indicatie_geheime_gegevens: 1
typering_hist_ind: 1
typering_hist_aantal: 1
",1266,10.011862396204,"real_conditional"
"51",1,"IV: 
typering_indicatie_geheime_gegevens: 0
typering_hist_ind: 0
typering_hist_aantal: 0
",1251,10.0015989766549,"synth_conditional"
"52",1,"IV: 
typering_indicatie_geheime_gegevens: 0
typering_hist_ind: 1
typering_hist_aantal: 1
",1251,10.0015989766549,"synth_conditional"
"53",1,"IV: 
typering_indicatie_geheime_gegevens: 1
typering_hist_ind: 1
typering_hist_aantal: 1
",1251,10.0015989766549,"synth_conditional"
"54",2,"IV: 
typering_indicatie_geheime_gegevens: 0
typering_hist_ind: 0
typering_hist_aantal: 0
",1252,10.0095938599296,"synth_conditional"
"55",2,"IV: 
typering_indicatie_geheime_gegevens: 0
typering_hist_ind: 1
typering_hist_aantal: 1
",1251,10.0015989766549,"synth_conditional"
"56",2,"IV: 
typering_indicatie_geheime_gegevens: 1
typering_hist_ind: 1
typering_hist_aantal: 1
",1250,9.99360409338024,"synth_conditional"
"57",3,"IV: 
typering_indicatie_geheime_gegevens: 0
typering_hist_ind: 0
typering_hist_aantal: 0
",1251,10.0015989766549,"synth_conditional"
"58",3,"IV: 
typering_indicatie_geheime_gegevens: 0
typering_hist_ind: 1
typering_hist_aantal: 1
",1252,10.0095938599296,"synth_conditional"
"59",3,"IV: 
typering_indicatie_geheime_gegevens: 1
typering_hist_ind: 1
typering_hist_aantal: 1
",1250,9.99360409338024,"synth_conditional"
"60",4,"IV: 
typering_indicatie_geheime_gegevens: 0
typering_hist_ind: 0
typering_hist_aantal: 0
",1251,10.0015989766549,"synth_conditional"
"61",4,"IV: 
typering_indicatie_geheime_gegevens: 0
typering_hist_ind: 1
typering_hist_aantal: 1
",1251,10.0015989766549,"synth_conditional"
"62",4,"IV: 
typering_indicatie_geheime_gegevens: 1
typering_hist_ind: 1
typering_hist_aantal: 1
",1251,10.0015989766549,"synth_conditional"
"63",5,"IV: 
typering_indicatie_geheime_gegevens: 0
typering_hist_ind: 0
typering_hist_aantal: 0
",1250,9.99360409338024,"synth_conditional"
"64",5,"IV: 
typering_indicatie_geheime_gegevens: 0
typering_hist_ind: 1
typering_hist_aantal: 1
",1250,9.99360409338024,"synth_conditional"
"65",5,"IV: 
typering_indicatie_geheime_gegevens: 1
typering_hist_ind: 1
typering_hist_aantal: 1
",1252,10.0095938599296,"synth_conditional"
"66",6,"IV: 
typering_indicatie_geheime_gegevens: 0
typering_hist_ind: 0
typering_hist_aantal: 0
",1251,10.0015989766549,"synth_conditional"
"67",6,"IV: 
typering_indicatie_geheime_gegevens: 0
typering_hist_ind: 1
typering_hist_aantal: 1
",1250,9.99360409338024,"synth_conditional"
"68",6,"IV: 
typering_indicatie_geheime_gegevens: 1
typering_hist_ind: 1
typering_hist_aantal: 1
",1251,10.0015989766549,"synth_conditional"
"69",7,"IV: 
typering_indicatie_geheime_gegevens: 0
typering_hist_ind: 0
typering_hist_aantal: 0
",1250,9.99360409338024,"synth_conditional"
"70",7,"IV: 
typering_indicatie_geheime_gegevens: 0
typering_hist_ind: 1
typering_hist_aantal: 1
",1251,10.0015989766549,"synth_conditional"
