"","decile","IV","n","perc","data_type"
"1",1,"IV: 
typering_transport__logistiek___tuinbouw: 0
typering_hist_ind: 0
typering_hist_aantal: 0
",516,8.79345603271984,"real"
"2",1,"IV: 
typering_transport__logistiek___tuinbouw: 0
typering_hist_ind: 1
typering_hist_aantal: 1
",167,17.4686192468619,"real"
"3",2,"IV: 
typering_transport__logistiek___tuinbouw: 0
typering_hist_ind: 0
typering_hist_aantal: 0
",574,9.78186775732788,"real"
"4",2,"IV: 
typering_transport__logistiek___tuinbouw: 0
typering_hist_ind: 1
typering_hist_aantal: 1
",109,11.4016736401674,"real"
"5",3,"IV: 
typering_transport__logistiek___tuinbouw: 0
typering_hist_ind: 0
typering_hist_aantal: 0
",607,10.3442399454669,"real"
"6",3,"IV: 
typering_transport__logistiek___tuinbouw: 0
typering_hist_ind: 1
typering_hist_aantal: 1
",76,7.94979079497908,"real"
"7",4,"IV: 
typering_transport__logistiek___tuinbouw: 0
typering_hist_ind: 0
typering_hist_aantal: 0
",600,10.2249488752556,"real"
"8",4,"IV: 
typering_transport__logistiek___tuinbouw: 0
typering_hist_ind: 1
typering_hist_aantal: 1
",83,8.68200836820084,"real"
"9",5,"IV: 
typering_transport__logistiek___tuinbouw: 0
typering_hist_ind: 0
typering_hist_aantal: 0
",610,10.3953646898432,"real"
"10",5,"IV: 
typering_transport__logistiek___tuinbouw: 0
typering_hist_ind: 1
typering_hist_aantal: 1
",72,7.53138075313807,"real"
"11",6,"IV: 
typering_transport__logistiek___tuinbouw: 0
typering_hist_ind: 0
typering_hist_aantal: 0
",584,9.95228357191547,"real"
"12",6,"IV: 
typering_transport__logistiek___tuinbouw: 0
typering_hist_ind: 1
typering_hist_aantal: 1
",98,10.2510460251046,"real"
"13",7,"IV: 
typering_transport__logistiek___tuinbouw: 0
typering_hist_ind: 0
typering_hist_aantal: 0
",578,9.85003408316292,"real"
"14",7,"IV: 
typering_transport__logistiek___tuinbouw: 0
typering_hist_ind: 1
typering_hist_aantal: 1
",104,10.8786610878661,"real"
"15",8,"IV: 
typering_transport__logistiek___tuinbouw: 0
typering_hist_ind: 0
typering_hist_aantal: 0
",582,9.91820040899795,"real"
"16",8,"IV: 
typering_transport__logistiek___tuinbouw: 0
typering_hist_ind: 1
typering_hist_aantal: 1
",100,10.4602510460251,"real"
"17",9,"IV: 
typering_transport__logistiek___tuinbouw: 0
typering_hist_ind: 0
typering_hist_aantal: 0
",611,10.412406271302,"real"
"18",9,"IV: 
typering_transport__logistiek___tuinbouw: 0
typering_hist_ind: 1
typering_hist_aantal: 1
",71,7.42677824267782,"real"
"19",10,"IV: 
typering_transport__logistiek___tuinbouw: 0
typering_hist_ind: 0
typering_hist_aantal: 0
",606,10.3271983640082,"real"
"20",10,"IV: 
typering_transport__logistiek___tuinbouw: 0
typering_hist_ind: 1
typering_hist_aantal: 1
",76,7.94979079497908,"real"
